GEOID,TRACTCE,NAME,total_population,pct_white,pct_black,pct_asian,pct_indian,pct_hawaiian,pct_two_or_more_races,pct_hispanic,pct_female,pct_young_adults_20_34,pct_zero_car_ownership,unemployment_rate,pct_bachelors_plus,pct_drive_alone,pct_bike_to_work,pct_walk_to_work,housing_density,per_capita_income,land_area_sq_meters,population_density_sq_meter,housing_density_sq_meter
17031040900,040900,409,2009,79.04,2.49,3.19,0.0,0.0,15.28,12.69,50.97,30.56,36.62,3.94,81.92,39.81,7.8,10.55,1201,78371.0,321853,0.006242,0.003732
17031050200,050200,502,5373,77.61,1.01,6.76,0.0,0.0,12.43,15.48,47.44,13.83,18.91,4.12,77.96,34.01,0.97,2.45,2329,84143.0,652253,0.008238,0.003571
17031050300,050300,503,2725,58.24,1.03,18.31,0.0,0.0,14.31,21.54,47.01,11.34,7.42,1.75,72.9,44.33,1.19,7.1,1180,83717.0,380031,0.00717,0.003105
17031818600,818600,8186,4727,78.32,3.6,3.05,0.32,0.0,9.27,15.78,52.93,10.68,5.92,2.32,69.57,64.2,0.53,0.45,2025,53797.0,2478071,0.001908,0.000817
17031804807,804807,8048.07,5528,64.27,0.0,8.81,0.0,0.0,23.82,28.29,48.23,10.26,1.9,2.64,40.71,71.86,0.66,0.92,1946,39298.0,2364666,0.002338,0.000823
17031801800,801800,8018,6339,79.65,5.02,12.15,0.0,0.0,2.65,2.45,50.81,11.89,3.44,1.65,87.11,49.34,0.66,1.05,2619,115993.0,10723316,0.000591,0.000244
17031800400,800400,8004,3779,90.39,0.0,3.02,0.0,0.0,5.74,2.57,45.54,4.37,1.26,4.4,92.05,51.83,0.0,1.7,1438,173755.0,2964651,0.001275,0.000485
17031071700,071700,717,1564,82.16,4.67,7.61,0.0,0.45,5.05,1.28,49.87,21.93,14.63,1.74,90.18,27.66,7.68,3.59,743,108288.0,159952,0.009778,0.004645
17031031800,031800,318,1980,59.7,4.44,13.28,0.05,0.0,18.33,15.35,51.01,41.21,23.3,6.29,79.79,26.87,3.23,4.39,1049,62757.0,235150,0.00842,0.004461
17031819000,819000,8190,4550,90.48,0.22,1.36,0.0,0.0,7.93,10.86,52.2,7.85,4.51,4.15,77.07,60.07,0.0,2.73,1632,71152.0,6276757,0.000725,0.00026
17031823903,823903,8239.03,4508,94.76,1.26,0.0,0.64,0.0,3.24,7.03,52.84,6.74,5.05,3.87,55.79,67.59,0.0,1.09,1771,66621.0,5568054,0.00081,0.000318
17031815701,815701,8157.01,3956,74.37,0.68,0.91,0.96,0.0,9.96,26.9,52.0,7.38,4.27,3.73,70.33,55.79,0.42,0.68,1598,67279.0,1882610,0.002101,0.000849
17031811600,811600,8116,5472,65.44,1.7,4.79,0.0,0.0,8.5,29.73,48.46,20.03,10.46,3.25,39.46,85.22,0.0,1.68,2286,33804.0,2931455,0.001867,0.00078
17031802900,802900,8029,5971,89.97,0.27,2.95,0.0,0.0,6.65,8.12,54.26,7.99,0.82,1.91,71.28,65.23,0.68,0.68,2106,80178.0,4547460,0.001313,0.000463
17031031700,031700,317,6139,68.79,13.75,4.76,0.0,0.0,10.15,11.34,45.15,45.41,30.44,3.91,74.58,36.72,3.19,5.87,3745,58951.0,477478,0.012857,0.007843
17031610400,610400,6104,2034,27.48,4.82,0.0,2.85,0.0,43.46,95.58,51.38,23.11,29.3,19.38,12.33,67.67,4.87,5.87,668,16735.0,163180,0.012465,0.004094
17031050600,050600,506,2286,81.58,0.79,5.25,0.0,0.0,9.27,8.09,40.86,37.27,11.75,6.87,85.33,26.17,5.97,4.81,1201,99304.0,332314,0.006879,0.003614
17031050500,050500,505,5134,84.26,0.04,6.0,0.0,0.0,6.29,6.56,48.93,21.78,7.63,3.58,89.32,34.15,2.55,2.09,2337,91847.0,652578,0.007867,0.003581
17031823904,823904,8239.04,3849,89.97,0.34,0.0,0.0,0.0,7.64,8.37,49.03,13.02,2.06,3.24,53.01,76.08,0.0,3.89,1729,54880.0,3707968,0.001038,0.000466
17031820103,820103,8201.03,4125,72.78,4.73,4.97,0.0,0.0,9.41,13.82,52.17,12.82,2.96,2.44,53.73,66.08,1.21,1.99,1734,57623.0,3054881,0.00135,0.000568
17031805801,805801,8058.01,2354,83.56,0.0,6.2,0.21,0.0,7.86,3.95,50.17,8.2,4.8,6.86,68.51,69.05,0.0,0.48,1061,68912.0,1871859,0.001258,0.000567
17031071600,071600,716,1814,88.48,3.69,5.62,0.0,0.0,0.72,3.03,53.25,23.1,15.14,1.77,91.9,28.97,3.7,6.59,790,156747.0,162169,0.011186,0.004871
17031828505,828505,8285.05,7112,25.42,58.24,0.34,0.0,0.0,4.81,16.76,47.12,14.79,0.89,6.36,51.79,74.71,0.0,0.49,2866,41536.0,12386601,0.000574,0.000231
17031830004,830004,8300.04,6616,11.68,83.93,2.58,0.0,0.0,1.78,3.43,51.86,20.75,8.53,16.29,47.87,69.61,0.0,0.07,2718,47727.0,8423144,0.000785,0.000323
17031828503,828503,8285.03,4349,18.67,64.73,0.0,0.0,0.34,8.83,8.3,54.73,20.72,7.78,9.69,21.58,75.75,0.0,2.88,1727,24099.0,9156094,0.000475,0.000189
17031802002,802002,8020.02,4881,77.96,0.94,11.45,0.12,0.0,5.45,8.24,49.62,9.94,0.55,3.6,69.73,67.83,0.0,0.71,1669,70300.0,3236864,0.001508,0.000516
17031826202,826202,8262.02,5895,20.24,61.61,0.25,0.27,0.59,1.93,19.47,52.77,15.23,3.45,11.21,27.3,77.73,0.0,2.52,2233,26040.0,2168148,0.002719,0.00103
17031671400,671400,6714,1507,8.16,57.4,0.0,8.16,0.0,5.64,24.68,68.35,20.11,11.48,10.1,9.35,65.56,0.0,0.0,630,19347.0,495626,0.003041,0.001271
17031801605,801605,8016.05,5680,77.24,0.26,17.89,0.0,0.0,4.6,13.36,49.35,10.04,4.43,3.98,81.82,54.9,1.47,3.46,2253,83359.0,4718452,0.001204,0.000477
17031800700,800700,8007,4981,78.42,0.5,11.12,0.1,0.0,9.36,4.18,48.97,9.4,5.81,2.35,86.97,48.84,0.0,3.18,1760,126079.0,3984215,0.00125,0.000442
17031062300,062300,623,1567,81.62,0.96,7.72,0.0,0.0,9.13,8.36,52.46,34.52,16.89,0.63,94.43,21.16,0.11,1.89,689,138689.0,163311,0.009595,0.004219
17031823102,823102,8231.02,3881,65.14,2.86,0.31,0.0,0.0,16.18,32.36,46.48,20.64,4.87,9.98,26.48,83.32,2.04,0.94,1541,28678.0,3646338,0.001064,0.000423
17031630400,630400,6304,6390,27.43,0.27,0.7,0.75,0.0,20.19,97.81,50.85,21.03,16.62,21.4,16.02,61.76,0.0,2.27,1862,20834.0,658248,0.009708,0.002829
17031818401,818401,8184.01,3142,46.98,29.5,0.7,0.0,0.0,15.37,26.99,45.29,13.37,8.99,4.99,29.74,57.76,0.0,0.62,1383,43161.0,6837664,0.00046,0.000202
17031822802,822802,8228.02,3535,78.93,3.42,2.32,0.76,0.0,11.12,18.98,48.77,11.12,10.3,8.07,50.06,83.13,0.0,0.07,1391,42566.0,1305003,0.002709,0.001066
17031827902,827902,8279.02,4183,17.6,52.0,12.62,0.0,0.0,4.66,18.03,52.5,16.9,11.03,9.73,25.64,83.83,0.0,0.0,1719,31446.0,3890470,0.001075,0.000442
17031829902,829902,8299.02,7161,7.88,87.12,0.0,0.0,0.0,1.27,5.87,56.89,14.41,2.96,17.18,52.27,66.68,0.0,0.03,2731,50100.0,12826597,0.000558,0.000213
17031010100,010100,101,3726,39.59,36.96,3.68,0.0,0.0,12.83,21.71,54.16,30.35,37.44,10.08,56.99,30.28,4.34,10.62,2841,45353.0,379511,0.009818,0.007486
17031680600,680600,6806,996,0.0,100.0,0.0,0.0,0.0,0.0,0.0,53.11,25.0,29.27,16.16,14.91,54.93,0.0,0.0,676,25050.0,326466,0.003051,0.002071
17031803010,803010,8030.10,4439,73.98,3.9,13.0,0.16,0.0,5.65,16.99,52.17,14.01,0.0,3.1,65.73,66.92,0.0,0.04,1734,58045.0,2585559,0.001717,0.000671
17031804505,804505,8045.05,3487,69.63,2.35,11.9,1.92,0.0,4.93,12.88,56.5,19.79,2.66,1.63,43.86,73.13,0.0,0.0,1650,50969.0,3088855,0.001129,0.000534
17031804606,804606,8046.06,6618,68.01,0.6,19.82,0.44,0.0,9.43,11.32,52.66,9.19,5.81,5.56,60.54,71.47,0.0,0.85,2457,58633.0,5008946,0.001321,0.000491
17031804712,804712,8047.12,5421,53.42,14.39,21.56,0.0,0.0,7.91,10.81,49.01,15.31,1.32,6.0,52.11,74.83,0.0,0.4,2000,43893.0,2369935,0.002287,0.000844
17031807800,807800,8078,2666,55.4,2.36,32.18,0.0,0.04,7.2,4.69,51.09,12.83,4.07,6.21,61.57,57.89,0.0,4.12,868,55014.0,2547904,0.001046,0.000341
