month,year,station_id,station_name,lat,lng,ebike_start,ebike_end,cbike_start,cbike_end,total_start,total_end,active_days,daily_ebike_start,daily_ebike_end,daily_cbike_start,daily_cbike_end,daily_start,daily_end
3,2022,TA1307000131,Wabash Ave & Wacker Pl,41.886875,-87.62603,248,238,344,300,592,538,31,8.0,7.68,11.1,9.68,19.1,17.35
3,2022,13042,Michigan Ave & Oak St,41.90099766666667,-87.62375166666666,457,471,757,798,1214,1269,31,14.74,15.19,24.42,25.74,39.16,40.94
3,2022,13109,Broadway & Berwyn Ave,41.978353,-87.659753,213,222,208,240,421,462,31,6.87,7.16,6.71,7.74,13.58,14.9
3,2022,LF-005,DuSable Lake Shore Dr & North Blvd,41.911722,-87.626804,285,286,836,812,1121,1098,31,9.19,9.23,26.97,26.19,36.16,35.42
3,2022,13059,Bissell St & Armitage Ave,41.91801814237187,-87.65218198299408,330,326,483,490,813,816,31,10.65,10.52,15.58,15.81,26.23,26.32
3,2022,13068,Western Ave & Winnebago Ave,41.915544152,-87.687069893,187,184,245,220,432,404,31,6.03,5.94,7.9,7.1,13.94,13.03
3,2022,TA1309000033,Sheffield Ave & Webster Ave,41.92154,-87.653818,293,284,457,489,750,773,31,9.45,9.16,14.74,15.77,24.19,24.94
3,2022,TA1306000003,Desplaines St & Kinzie St,41.888716036,-87.6444478533,507,443,684,609,1191,1052,31,16.35,14.29,22.06,19.65,38.42,33.94
3,2022,331,Halsted St & Clybourn Ave,41.90963466666667,-87.64813666666667,382,380,521,550,903,930,31,12.32,12.26,16.81,17.74,29.13,30.0
3,2022,RP-007,Clark St & Touhy Ave,42.01256011541,-87.6743671152,29,29,47,40,76,69,30,0.97,0.97,1.57,1.33,2.53,2.3
3,2022,15653,Troy St & North Ave,41.90976930169,-87.7052804871,57,58,70,60,127,118,31,1.84,1.87,2.26,1.94,4.1,3.81
3,2022,13075,Wentworth Ave & Cermak Rd,41.85308455741279,-87.63193130493164,150,152,265,315,415,467,31,4.84,4.9,8.55,10.16,13.39,15.06
3,2022,TA1309000015,Leavitt St & Lawrence Ave,41.968885,-87.684001,47,39,86,64,133,103,31,1.52,1.26,2.77,2.06,4.29,3.32
3,2022,13197,Elizabeth (May) St & Fulton St,41.886616,-87.65804,228,232,151,180,379,412,31,7.35,7.48,4.87,5.81,12.23,13.29
3,2022,KA1503000043,Kingsbury St & Kinzie St,41.88917683258,-87.6385057718,850,810,1220,1148,2070,1958,31,27.42,26.13,39.35,37.03,66.77,63.16
3,2022,20257.0,N Southport Ave & W Newport Ave,41.94,-87.66,44,33,0,0,44,33,18,2.44,1.83,0.0,0.0,2.44,1.83
3,2022,15530,Rush St & Superior St,41.89533616666667,-87.62518016666667,354,353,510,554,864,907,31,11.42,11.39,16.45,17.87,27.87,29.26
3,2022,TA1309000043,Southport Ave & Irving Park Rd,41.954177,-87.664358,157,153,278,266,435,419,31,5.06,4.94,8.97,8.58,14.03,13.52
3,2022,TA1308000036,Indiana Ave & 31st St,41.838842,-87.621857,33,31,107,93,140,124,30,1.1,1.03,3.57,3.1,4.67,4.13
3,2022,TA1307000048,Fort Dearborn Dr & 31st St,41.838556,-87.608218,44,40,276,255,320,295,31,1.42,1.29,8.9,8.23,10.32,9.52
3,2022,644,Western Ave & Fillmore St,41.86865066666667,-87.68623533333333,166,165,95,108,261,273,31,5.35,5.32,3.06,3.48,8.42,8.81
3,2022,KA1503000007,Cornell Ave & Hyde Park Blvd,41.802406,-87.586924,154,135,312,272,466,407,31,4.97,4.35,10.06,8.77,15.03,13.13
3,2022,KA1504000126,Kedzie Ave & Leland Ave,41.966778755,-87.708061814,44,32,27,22,71,54,30,1.47,1.07,0.9,0.73,2.37,1.8
3,2022,18017,Central Park Ave & Bloomingdale Ave,41.914166,-87.716755,51,57,104,108,155,165,30,1.7,1.9,3.47,3.6,5.17,5.5
3,2022,13278,Broadway & Cornelia Ave,41.945529,-87.646439,366,365,533,525,899,890,31,11.81,11.77,17.19,16.94,29.0,28.71
3,2022,13338,Mies van der Rohe Way & Chicago Ave,41.89724516666666,-87.6211655,329,325,489,521,818,846,31,10.61,10.48,15.77,16.81,26.39,27.29
3,2022,15644,Central Park Ave & Elbridge Ave,41.935391426,-87.716847181,91,91,35,33,126,124,31,2.94,2.94,1.13,1.06,4.06,4.0
3,2022,E008,Chicago Ave & Sheridan Rd,42.050491,-87.677821,78,79,185,182,263,261,31,2.52,2.55,5.97,5.87,8.48,8.42
3,2022,TA1307000006,Southport Ave & Wellington Ave,41.93574666666667,-87.6636355,232,228,352,372,584,600,31,7.48,7.35,11.35,12.0,18.84,19.35
3,2022,TA1309000027,Sheridan Rd & Buena Ave,41.958504081,-87.654978037,186,187,238,226,424,413,31,6.0,6.03,7.68,7.29,13.68,13.32
3,2022,13058,Dayton St & North Ave,41.910651666666666,-87.64938716666667,255,256,339,365,594,621,31,8.23,8.26,10.94,11.77,19.16,20.03
3,2022,13150,Michigan Ave & 18th St,41.857854724,-87.624521136,118,113,311,295,429,408,31,3.81,3.65,10.03,9.52,13.84,13.16
3,2022,KA1504000104,Paulina St & Flournoy St,41.873091221,-87.66899621499999,270,247,434,429,704,676,31,8.71,7.97,14.0,13.84,22.71,21.81
3,2022,SL-012,Wabash Ave & 16th St,41.86026316666667,-87.6256155,143,140,250,248,393,388,31,4.61,4.52,8.06,8.0,12.68,12.52
3,2022,515,Paulina St & Howard St,42.019159,-87.673573,34,34,97,110,131,144,31,1.1,1.1,3.13,3.55,4.23,4.65
3,2022,620,Orleans St & Chestnut St (NEXT Apts),41.898203,-87.637536,211,186,312,260,523,446,31,6.81,6.0,10.06,8.39,16.87,14.39
3,2022,TA1305000032,Clinton St & Madison St,41.882242,-87.641066,707,724,944,959,1651,1683,31,22.81,23.35,30.45,30.94,53.26,54.29
3,2022,13268,Damen Ave & Wellington Ave,41.93587683333333,-87.6785445,105,105,126,122,231,227,31,3.39,3.39,4.06,3.94,7.45,7.32
3,2022,TA1305000030,Clark St & Randolph St,41.88497,-87.6315655,397,391,490,504,887,895,31,12.81,12.61,15.81,16.26,28.61,28.87
3,2022,13034,Michigan Ave & Pearson St,41.89766,-87.62351,165,168,266,324,431,492,31,5.32,5.42,8.58,10.45,13.9,15.87
3,2022,KA1504000149,Damen Ave & Foster Ave,41.97569833333333,-87.679474,104,106,110,100,214,206,31,3.35,3.42,3.55,3.23,6.9,6.65
3,2022,TA1305000020,Ogden Ave & Chicago Ave,41.896285772,-87.654022455,264,267,305,311,569,578,31,8.52,8.61,9.84,10.03,18.35,18.65
3,2022,13243,Milwaukee Ave & Wabansia Ave,41.912616,-87.681391,327,323,331,355,658,678,31,10.55,10.42,10.68,11.45,21.23,21.87
3,2022,KA1503000009,Princeton Ave & 47th St,41.80931770924,-87.633449288,11,11,15,18,26,29,22,0.5,0.5,0.68,0.82,1.18,1.32
3,2022,TA1307000115,Clybourn Ave & Division St,41.904613,-87.640552,102,103,215,226,317,329,31,3.29,3.32,6.94,7.29,10.23,10.61
3,2022,13137,Broadway & Barry Ave,41.937557,-87.6443145,486,486,762,826,1248,1312,31,15.68,15.68,24.58,26.65,40.26,42.32
3,2022,13191,Sedgwick St & Webster Ave,41.922100306,-87.638939142,266,261,504,475,770,736,31,8.58,8.42,16.26,15.32,24.84,23.74
3,2022,TA1307000159,Paulina St & 18th St,41.857901,-87.668745,91,89,145,131,236,220,32,2.84,2.78,4.53,4.09,7.38,6.88
3,2022,TA1309000030,Southport Ave & Clybourn Ave,41.92077733333333,-87.66370666666667,295,294,267,297,562,591,31,9.52,9.48,8.61,9.58,18.13,19.06
3,2022,TA1309000061,Halsted St & Wrightwood Ave,41.929131,-87.64910733333333,351,345,616,597,967,942,31,11.32,11.13,19.87,19.26,31.19,30.39
3,2022,KA1504000128,Kedzie Ave & Foster Ave,41.975672,-87.709261,26,26,37,35,63,61,29,0.9,0.9,1.28,1.21,2.17,2.1
3,2022,13303,Clark St & Chicago Ave,41.89676833333333,-87.6308695,242,237,329,306,571,543,31,7.81,7.65,10.61,9.87,18.42,17.52
3,2022,TA1307000127,Clark St & Grace St,41.95078,-87.659172,201,191,368,345,569,536,31,6.48,6.16,11.87,11.13,18.35,17.29
3,2022,599,Valli Produce - Evanston Plaza,42.039742,-87.699413,30,31,14,8,44,39,26,1.15,1.19,0.54,0.31,1.69,1.5
3,2022,KA1504000151,Clark St & Bryn Mawr Ave,41.983593,-87.669154,148,152,182,205,330,357,31,4.77,4.9,5.87,6.61,10.65,11.52
3,2022,15575,Broadway & Thorndale Ave,41.98974251144,-87.6601406209,119,115,162,182,281,297,31,3.84,3.71,5.23,5.87,9.06,9.58
3,2022,402,Kenneth Ave & 50th St,41.8,-87.73,14,9,0,0,14,9,9,1.56,1.0,0.0,0.0,1.56,1.0
3,2022,KA1503000022,Clark St & Montrose Ave,41.96154333333333,-87.66618366666667,126,129,174,115,300,244,31,4.06,4.16,5.61,3.71,9.68,7.87
3,2022,527,Western Ave & Howard St,42.01893016666666,-87.69012416666666,25,26,31,27,56,53,30,0.83,0.87,1.03,0.9,1.87,1.77
3,2022,KA1504000148,Clark St & Elmdale Ave,41.99086044812557,-87.66972362995148,59,58,115,102,174,160,30,1.97,1.93,3.83,3.4,5.8,5.33
3,2022,TA1309000011,Ellis Ave & 58th St,41.788746,-87.601334,79,78,510,525,589,603,31,2.55,2.52,16.45,16.94,19.0,19.45
3,2022,20237,Yates Blvd & 93rd St,41.72616639024511,-87.5662761926651,0,0,5,4,5,4,4,0.0,0.0,1.25,1.0,1.25,1.0
