month,year,station_id,station_name,lat,lng,ebike_start,ebike_end,cbike_start,cbike_end,total_start,total_end,active_days,daily_ebike_start,daily_ebike_end,daily_cbike_start,daily_cbike_end,daily_start,daily_end
7,2023,20204,Kedzie Ave & 110th St,41.692406058,-87.700905323,5,5,18,13,23,18,21,0.24,0.24,0.86,0.62,1.1,0.86
7,2023,KA1504000103,Western Ave & Walton St,41.89841768945,-87.6865960164,417,413,484,487,901,900,31,13.45,13.32,15.61,15.71,29.06,29.03
7,2023,13155,Racine Ave & Randolph St,41.88411216666667,-87.6569435,260,214,518,442,778,656,31,8.39,6.9,16.71,14.26,25.1,21.16
7,2023,TA1309000014,Clark St & Leland Ave,41.96708783918421,-87.66729086637497,580,580,674,679,1254,1259,31,18.71,18.71,21.74,21.9,40.45,40.61
7,2023,RP-002,Warren Park East,42.00454962194,-87.6806661451,56,58,67,73,123,131,31,1.81,1.87,2.16,2.35,3.97,4.23
7,2023,WL-011,Jefferson St & Monroe St,41.880329633634624,-87.64274597167967,504,489,742,654,1246,1143,31,16.26,15.77,23.94,21.1,40.19,36.87
7,2023,1019,Public Rack - Kostner Ave & Diversey Ave,41.931753039,-87.737155557,30,30,0,0,30,30,23,1.3,1.3,0.0,0.0,1.3,1.3
7,2023,KA1504000097,Drake Ave & Montrose Ave,41.961120248,-87.716620922,119,111,64,68,183,179,32,3.72,3.47,2.0,2.12,5.72,5.59
7,2023,15632,Talman Ave & Addison St,41.9466358306,-87.694614758,248,252,179,196,427,448,31,8.0,8.13,5.77,6.32,13.77,14.45
7,2023,TA1307000151,Wells St & Hubbard St,41.889906,-87.634266,1278,1267,1642,1732,2920,2999,31,41.23,40.87,52.97,55.87,94.19,96.74
7,2023,13265,Kingsbury St & Erie St,41.893731594,-87.641777873,919,901,1476,1324,2395,2225,31,29.65,29.06,47.61,42.71,77.26,71.77
7,2023,TA1307000143,Sedgwick St & Schiller St,41.907626,-87.638566,251,234,513,381,764,615,31,8.1,7.55,16.55,12.29,24.65,19.84
7,2023,657,Wood St & Augusta Blvd,41.899181,-87.6722,444,440,428,449,872,889,31,14.32,14.19,13.81,14.48,28.13,28.68
7,2023,20253.0,N Paulina St & Lincoln Ave,41.9438025,-87.671575,334,267,0,0,334,267,31,10.77,8.61,0.0,0.0,10.77,8.61
7,2023,15443,Shields Ave & 28th Pl,41.842862,-87.63550816666667,169,170,238,260,407,430,31,5.45,5.48,7.68,8.39,13.13,13.87
7,2023,SL-006,Wells St & 19th St,41.856811643,-87.633845806,131,129,128,132,259,261,31,4.23,4.16,4.13,4.26,8.35,8.42
7,2023,TA1309000023,Sheffield Ave & Wrightwood Ave,41.928712,-87.653833,978,960,1534,1429,2512,2389,31,31.55,30.97,49.48,46.1,81.03,77.06
