month,year,station_id,station_name,lat,lng,ebike_start,ebike_end,cbike_start,cbike_end,total_start,total_end,active_days,daily_ebike_start,daily_ebike_end,daily_cbike_start,daily_cbike_end,daily_start,daily_end
8,2024,TA1305000029,State St & Randolph St,41.88462107257936,-87.62783423066139,787,771,1313,1321,2100,2092,32,24.59,24.09,41.03,41.28,65.62,65.38
8,2024,TA1309000007,Franklin St & Monroe St,41.880317,-87.635185,742,929,708,730,1450,1659,31,23.94,29.97,22.84,23.55,46.77,53.52
8,2024,TA1307000039,Clark St & Elm St,41.902973,-87.63128,1773,1741,2811,2730,4584,4471,32,55.41,54.41,87.84,85.31,143.25,139.72
8,2024,TA1307000140,Western Ave & Leland Ave,41.966399801840986,-87.68870428204536,435,443,382,388,817,831,31,14.03,14.29,12.32,12.52,26.35,26.81
8,2024,TA1309000002,Michigan Ave & Jackson Blvd,41.8777679,-87.624164,529,527,1252,1249,1781,1776,31,17.06,17.0,40.39,40.29,57.45,57.29
8,2024,24323,Kilbourn Ave & Diversey Ave,41.93179,-87.73934,45,46,12,17,57,63,30,1.5,1.53,0.4,0.57,1.9,2.1
8,2024,23113,Scottsdale Park,41.741966,-87.736179,1,1,11,19,12,20,14,0.07,0.07,0.79,1.36,0.86,1.43
8,2024,TA1309000050,Lincoln Ave & Addison St,41.946176,-87.673308,258,262,276,287,534,549,31,8.32,8.45,8.9,9.26,17.23,17.71
8,2024,542,Public Rack - Chopin Park,41.942675,-87.761899,6,6,0,0,6,6,8,0.75,0.75,0.0,0.0,0.75,0.75
8,2024,KA1504000090,St. Louis Ave & Fullerton Ave,41.92481559681187,-87.71449506282805,191,201,199,200,390,401,31,6.16,6.48,6.42,6.45,12.58,12.94
8,2024,TA1307000128,Dearborn Pkwy & Delaware Pl,41.898969,-87.629912,1222,1219,1839,1819,3061,3038,32,38.19,38.09,57.47,56.84,95.66,94.94
8,2024,TA1307000149,Ravenswood Ave & Irving Park Rd,41.95469,-87.67393,383,394,391,399,774,793,31,12.35,12.71,12.61,12.87,24.97,25.58
8,2024,TA1307000005,Indiana Ave & 26th St,41.845687,-87.622481,282,283,339,353,621,636,31,9.1,9.13,10.94,11.39,20.03,20.52
8,2024,13133,Damen Ave & Cortland St,41.915983,-87.677335,716,731,821,852,1537,1583,31,23.1,23.58,26.48,27.48,49.58,51.06
8,2024,KA1504000156,Clark St & Schreiber Ave,41.999245,-87.671249,213,220,181,193,394,413,31,6.87,7.1,5.84,6.23,12.71,13.32
8,2024,KA1503000004,Lake Park Ave & 35th St,41.83127423549,-87.6087991946,176,174,371,357,547,531,31,5.68,5.61,11.97,11.52,17.65,17.13
8,2024,TA1307000052,Sheffield Ave & Wellington Ave,41.9362534831413,-87.65266209840775,885,884,1231,1237,2116,2121,31,28.55,28.52,39.71,39.9,68.26,68.42
8,2024,604,Sheridan Rd & Noyes St (NU),42.058239,-87.677432,129,117,216,207,345,324,31,4.16,3.77,6.97,6.68,11.13,10.45
8,2024,RP-009,Sheridan Rd & Loyola Ave,42.00104377979,-87.6611982433,287,290,333,367,620,657,31,9.26,9.35,10.74,11.84,20.0,21.19
8,2024,13266,Stave St & Armitage Ave,41.917741,-87.691392,370,372,270,292,640,664,31,11.94,12.0,8.71,9.42,20.65,21.42
8,2024,TA1305000009,Clark St & Ida B Wells Dr,41.8759326655,-87.6305845355,344,318,654,557,998,875,31,11.1,10.26,21.1,17.97,32.19,28.23
8,2024,13036,Michigan Ave & Madison St,41.882134,-87.625125,628,619,946,973,1574,1592,32,19.62,19.34,29.56,30.41,49.19,49.75
8,2024,TA1305000022,Orleans St & Merchandise Mart Plaza,41.888243,-87.63639,1166,1146,1236,1128,2402,2274,31,37.61,36.97,39.87,36.39,77.48,73.35
8,2024,KA1503000065,Woodlawn Ave & Lake Park Ave,41.81409271048,-87.5970051479,66,63,143,154,209,217,31,2.13,2.03,4.61,4.97,6.74,7.0
8,2024,24159,Kedvale Ave & Peterson Ave,41.9900762,-87.7317073,69,66,18,15,87,81,31,2.23,2.13,0.58,0.48,2.81,2.61
8,2024,KA1503000015,Wabash Ave & Adams St,41.87947235235,-87.6256886059,614,612,852,853,1466,1465,32,19.19,19.12,26.62,26.66,45.81,45.78
8,2024,TA1309000001,Halsted St & Maxwell St,41.864883,-87.647071,597,593,629,667,1226,1260,31,19.26,19.13,20.29,21.52,39.55,40.65
8,2024,TA1309000024,Clark St & Schiller St,41.907993,-87.631501,1034,1011,1480,1409,2514,2420,32,32.31,31.59,46.25,44.03,78.56,75.62
8,2024,TA1309000041,Sheridan Rd & Lawrence Ave,41.969517,-87.654691,425,434,476,454,901,888,31,13.71,14.0,15.35,14.65,29.06,28.65
8,2024,KA1503000069,Dorchester Ave & 49th St,41.805772,-87.592464,41,38,93,77,134,115,31,1.32,1.23,3.0,2.48,4.32,3.71
8,2024,TA1306000009,Larrabee St & Kingsbury St,41.897764,-87.642884,1008,1242,1354,1226,2362,2468,31,32.52,40.06,43.68,39.55,76.19,79.61
8,2024,KA1504000135,Wells St & Elm St,41.903222,-87.634324,1622,1628,2204,2144,3826,3772,32,50.69,50.88,68.88,67.0,119.56,117.88
