month,year,station_id,station_name,lat,lng,ebike_start,ebike_end,cbike_start,cbike_end,total_start,total_end,active_days,daily_ebike_start,daily_ebike_end,daily_cbike_start,daily_cbike_end,daily_start,daily_end
9,2024,637,Wood St & Chicago Ave,41.895634,-87.672069,401,401,404,415,805,816,30,13.37,13.37,13.47,13.83,26.83,27.2
9,2024,13084,California Ave & Milwaukee Ave,41.922695,-87.697153,711,712,638,648,1349,1360,31,22.94,22.97,20.58,20.9,43.52,43.87
9,2024,13256,California Ave & Division St,41.903029,-87.697474,208,209,185,211,393,420,30,6.93,6.97,6.17,7.03,13.1,14.0
9,2024,15623,Campbell Ave & Montrose Ave,41.961524,-87.691177,164,171,183,231,347,402,30,5.47,5.7,6.1,7.7,11.57,13.4
9,2024,KA1504000106,Kedzie Ave & Lake St,41.88460328501,-87.7063037436,57,63,16,18,73,81,30,1.9,2.1,0.53,0.6,2.43,2.7
9,2024,TA1306000002,Morgan Ave & 14th Pl,41.862378,-87.651062,268,276,304,292,572,568,30,8.93,9.2,10.13,9.73,19.07,18.93
9,2024,927,Public Rack - Michigan Ave & 119th St,41.677934,-87.620754,2,3,0,0,2,3,3,0.67,1.0,0.0,0.0,0.67,1.0
9,2024,20106,Chicago State University,41.71896342165455,-87.60829567909241,39,30,10,19,49,49,28,1.39,1.07,0.36,0.68,1.75,1.75
9,2024,15634,Western Ave & Roscoe St,41.943034,-87.687288,131,134,177,183,308,317,30,4.37,4.47,5.9,6.1,10.27,10.57
9,2024,21352,Sayre Ave & Diversey Ave,41.93098,-87.80106,8,9,11,9,19,18,20,0.4,0.45,0.55,0.45,0.95,0.9
9,2024,TA1309000024,Clark St & Schiller St,41.907993,-87.631501,863,849,1252,1191,2115,2040,30,28.77,28.3,41.73,39.7,70.5,68.0
9,2024,13266,Stave St & Armitage Ave,41.917655945,-87.691586494,354,352,227,245,581,597,30,11.8,11.73,7.57,8.17,19.37,19.9
9,2024,24364,Narragansett Ave & Montrose Ave,41.959978,-87.786928,41,44,23,16,64,60,27,1.52,1.63,0.85,0.59,2.37,2.22
9,2024,TA1307000144,Wolcott (Ravenswood) Ave & Montrose Ave,41.961406,-87.676169,325,327,326,324,651,651,30,10.83,10.9,10.87,10.8,21.7,21.7
9,2024,TA1309000002,Michigan Ave & Jackson Blvd,41.8777679,-87.624164,520,512,1160,1115,1680,1627,31,16.77,16.52,37.42,35.97,54.19,52.48
