month,year,station_id,station_name,lat,lng,ebike_start,ebike_end,cbike_start,cbike_end,total_start,total_end,active_days,daily_ebike_start,daily_ebike_end,daily_cbike_start,daily_cbike_end,daily_start,daily_end
6,2024,13084,California Ave & Milwaukee Ave,41.92268014,-87.697142482,703,691,732,726,1435,1417,31,22.68,22.29,23.61,23.42,46.29,45.71
6,2024,TA1309000067,Cottage Grove Ave & 51st St,41.803038,-87.606615,51,51,74,76,125,127,30,1.7,1.7,2.47,2.53,4.17,4.23
6,2024,13256,California Ave & Division St,41.903029,-87.697474,234,231,262,293,496,524,30,7.8,7.7,8.73,9.77,16.53,17.47
6,2024,15623,Campbell Ave & Montrose Ave,41.961569667,-87.691213369,216,210,194,209,410,419,30,7.2,7.0,6.47,6.97,13.67,13.97
6,2024,637,Wood St & Chicago Ave,41.895653367,-87.67220211,412,405,447,459,859,864,30,13.73,13.5,14.9,15.3,28.63,28.8
6,2024,750,Public Rack - Harper Ave & 63rd St,41.78075116666667,-87.58794533333334,26,9,0,0,26,9,13,2.0,0.69,0.0,0.0,2.0,0.69
6,2024,20222,Burnham Greenway & 105th St,41.704610229,-87.52839756,9,10,25,24,34,34,24,0.38,0.42,1.04,1.0,1.42,1.42
6,2024,TA1306000002,Morgan Ave & 14th Pl,41.862429619,-87.651153445,216,202,252,277,468,479,30,7.2,6.73,8.4,9.23,15.6,15.97
6,2024,1121.0,Public Rack - Milwaukee Ave & Higgins Ave,41.968589187,-87.761236906,29,28,0,0,29,28,19,1.53,1.47,0.0,0.0,1.53,1.47
6,2024,18067,Walsh Park,41.91461,-87.667968,303,298,557,548,860,846,31,9.77,9.61,17.97,17.68,27.74,27.29
6,2024,431,Western Ave & Grace St,41.950306773,-87.688077688,161,155,0,0,161,155,30,5.37,5.17,0.0,0.0,5.37,5.17
6,2024,15534,Field Blvd & South Water St,41.886273861,-87.617414117,818,804,981,927,1799,1731,30,27.27,26.8,32.7,30.9,59.97,57.7
6,2024,KA1503000068,Leavitt St & Archer Ave,41.828758001,-87.680618167,57,62,45,42,102,104,30,1.9,2.07,1.5,1.4,3.4,3.47
6,2024,13154,Sheffield Ave & Kingsbury St,41.910522,-87.653106,617,613,954,966,1571,1579,31,19.9,19.77,30.77,31.16,50.68,50.94
6,2024,428,Milwaukee Ave & Fullerton Ave,41.92472016666667,-87.7006155,596,570,0,0,596,570,30,19.87,19.0,0.0,0.0,19.87,19.0
6,2024,TA1305000030,Wells St & Randolph St,41.884350896,-87.633833528,471,462,774,781,1245,1243,30,15.7,15.4,25.8,26.03,41.5,41.43
6,2024,807,Public Rack - New England Ave & Grace St,41.949250579,-87.798465252,3,2,0,0,3,2,2,1.5,1.0,0.0,0.0,1.5,1.0
6,2024,13160,May St & Taylor St,41.869478,-87.654238,393,387,832,798,1225,1185,30,13.1,12.9,27.73,26.6,40.83,39.5
6,2024,13245,Claremont Ave & Hirsch St,41.907785416,-87.68594873,163,163,144,138,307,301,30,5.43,5.43,4.8,4.6,10.23,10.03
6,2024,624,Dearborn St & Van Buren St,41.876268,-87.629155,169,163,518,470,687,633,31,5.45,5.26,16.71,15.16,22.16,20.42
6,2024,24200,Pine Ave & Division St,41.9018636,-87.7638197,4,5,3,1,7,6,9,0.44,0.56,0.33,0.11,0.78,0.67
6,2024,TA1309000002,Michigan Ave & Jackson Blvd,41.878005,-87.624144,500,498,1063,1175,1563,1673,30,16.67,16.6,35.43,39.17,52.1,55.77
6,2024,TA1309000024,Clark St & Schiller St,41.907993,-87.631501,796,794,1410,1347,2206,2141,30,26.53,26.47,47.0,44.9,73.53,71.37
6,2024,13430,LaSalle St & Illinois St,41.890882134,-87.631647348,1048,1038,1752,1679,2800,2717,31,33.81,33.48,56.52,54.16,90.32,87.65
6,2024,20251.0,N Carpenter St & W Lake St,41.88562572,-87.653037548,293,228,0,0,293,228,30,9.77,7.6,0.0,0.0,9.77,7.6
6,2024,13217,Calumet Ave & 33rd St,41.8349,-87.61793,350,352,809,782,1159,1134,30,11.67,11.73,26.97,26.07,38.63,37.8
6,2024,13146,Clark St & Armitage Ave,41.918378115,-87.63627255,1172,1161,2264,2376,3436,3537,30,39.07,38.7,75.47,79.2,114.53,117.9
6,2024,TA1307000052,Sheffield Ave & Wellington Ave,41.9362534831413,-87.65266209840775,846,845,1210,1237,2056,2082,30,28.2,28.17,40.33,41.23,68.53,69.4
6,2024,TA1307000039,Clark St & Elm St,41.902973,-87.63128,1530,1499,2578,2564,4108,4063,30,51.0,49.97,85.93,85.47,136.93,135.43
6,2024,TA1307000140,Western Ave & Leland Ave,41.966490269,-87.688728213,408,406,296,341,704,747,30,13.6,13.53,9.87,11.37,23.47,24.9
6,2024,TA1309000010,Wabash Ave & 9th St,41.870809555,-87.625645995,622,617,961,904,1583,1521,30,20.73,20.57,32.03,30.13,52.77,50.7
6,2024,21452,Richmond St & Lincoln Ave,41.988245606,-87.703132987,25,26,48,47,73,73,29,0.86,0.9,1.66,1.62,2.52,2.52
6,2024,13042,Michigan Ave & Oak St,41.901022315,-87.623745561,1894,1853,4449,4471,6343,6324,31,61.1,59.77,143.52,144.23,204.61,204.0
6,2024,TA1305000034,Honore St & Division St,41.903119,-87.673935,670,689,740,825,1410,1514,31,21.61,22.23,23.87,26.61,45.48,48.84
6,2024,TA1307000070,Damen Ave & Thomas St (Augusta Blvd),41.901315,-87.677409,347,356,603,586,950,942,30,11.57,11.87,20.1,19.53,31.67,31.4
6,2024,TA1305000029,State St & Randolph St,41.88462107257936,-87.62783423066139,689,687,1309,1301,1998,1988,31,22.23,22.16,42.23,41.97,64.45,64.13
6,2024,KA1504000135,Wells St & Elm St,41.903222,-87.634324,1454,1443,2270,2225,3724,3668,31,46.9,46.55,73.23,71.77,120.13,118.32
6,2024,15642,California Ave & Fletcher St,41.93842879148,-87.698007756,95,84,125,153,220,237,30,3.17,2.8,4.17,5.1,7.33,7.9
6,2024,TA1305000022,Orleans St & Merchandise Mart Plaza,41.888243,-87.63639,959,949,1230,1074,2189,2023,30,31.97,31.63,41.0,35.8,72.97,67.43
6,2024,TA1305000006,Dearborn St & Monroe St,41.881319815,-87.6295209193,789,755,1155,1054,1944,1809,30,26.3,25.17,38.5,35.13,64.8,60.3
6,2024,13001,Michigan Ave & Washington St,41.884092331,-87.62477982,935,925,1858,1813,2793,2738,31,30.16,29.84,59.94,58.48,90.1,88.32
6,2024,13338,Mies van der Rohe Way & Chicago Ave,41.896944626370825,-87.62175768613815,628,622,1006,1038,1634,1660,30,20.93,20.73,33.53,34.6,54.47,55.33
6,2024,TA1309000030,Southport Ave & Clybourn Ave,41.9215759,-87.6664335,355,350,494,532,849,882,30,11.83,11.67,16.47,17.73,28.3,29.4
6,2024,13150,Michigan Ave & 18th St,41.857926,-87.624336,352,352,819,757,1171,1109,30,11.73,11.73,27.3,25.23,39.03,36.97
6,2024,KA1504000129,Western Ave & Granville Ave,41.994167209,-87.689433455,68,67,30,34,98,101,30,2.27,2.23,1.0,1.13,3.27,3.37
6,2024,TA1309000007,Franklin St & Monroe St,41.878316522,-87.633420587,777,806,573,646,1350,1452,30,25.9,26.87,19.1,21.53,45.0,48.4
6,2024,21544,State St & Chicago Ave,41.89661720040753,-87.62857854366302,1231,1222,1997,2001,3228,3223,31,39.71,39.42,64.42,64.55,104.13,103.97
6,2024,TA1305000010,Michigan Ave & Ida B Wells Dr,41.876243,-87.624426,216,204,717,603,933,807,31,6.97,6.58,23.13,19.45,30.1,26.03
6,2024,13017,Franklin St & Chicago Ave,41.896746973093805,-87.63566762208939,455,452,834,755,1289,1207,30,15.17,15.07,27.8,25.17,42.97,40.23
6,2024,13059,Sheridan Rd & Argyle St,41.97328682025979,-87.65475958585739,372,370,531,526,903,896,30,12.4,12.33,17.7,17.53,30.1,29.87
6,2024,TA1309000064,Wolcott Ave & Polk St,41.871262,-87.673688,312,308,506,500,818,808,30,10.4,10.27,16.87,16.67,27.27,26.93
6,2024,KA1503000012,Clark St & Lake St,41.886014223,-87.630970359,825,817,1254,1156,2079,1973,30,27.5,27.23,41.8,38.53,69.3,65.77
6,2024,13034,Michigan Ave & Pearson St,41.897510409,-87.623652816,411,406,892,928,1303,1334,31,13.26,13.1,28.77,29.94,42.03,43.03
6,2024,TA1306000007,Larrabee St & Menomonee St,41.91468,-87.64332,159,155,411,418,570,573,31,5.13,5.0,13.26,13.48,18.39,18.48
6,2024,13158,Peoria St & Jackson Blvd,41.8776415962753,-87.64961779117584,622,616,1145,1070,1767,1686,30,20.73,20.53,38.17,35.67,58.9,56.2
6,2024,951,Public Rack - Woodlawn Ave & 63rd St N,41.780668855,-87.596111536,72,71,0,0,72,71,28,2.57,2.54,0.0,0.0,2.57,2.54
6,2024,15575,Broadway & Thorndale Ave,41.989803195,-87.660153389,367,365,509,548,876,913,30,12.23,12.17,16.97,18.27,29.2,30.43
6,2024,TA1305000025,Franklin St & Jackson Blvd,41.8777079559,-87.6353211408,705,694,1131,1144,1836,1838,30,23.5,23.13,37.7,38.13,61.2,61.27
6,2024,13215,Rhodes Ave & 32nd St,41.836741567,-87.613414049,333,334,543,504,876,838,30,11.1,11.13,18.1,16.8,29.2,27.93
6,2024,WL-008,Clinton St & Roosevelt Rd,41.8671177825,-87.6410879593,309,307,452,449,761,756,30,10.3,10.23,15.07,14.97,25.37,25.2
6,2024,13045,Dearborn St & Erie St,41.894124866,-87.629024267,1121,1110,2067,2026,3188,3136,31,36.16,35.81,66.68,65.35,102.84,101.16
6,2024,1176.0,Public Rack - Imlay & Milwaukee,41.998909593,-87.789626002,6,7,0,0,6,7,5,1.2,1.4,0.0,0.0,1.2,1.4
6,2024,SL-010,Financial Pl & Ida B Wells Dr,41.874986529,-87.633139372,310,293,738,525,1048,818,30,10.33,9.77,24.6,17.5,34.93,27.27
6,2024,15644,Central Park Ave & Elbridge Ave,41.935329795,-87.716838241,182,180,132,152,314,332,30,6.07,6.0,4.4,5.07,10.47,11.07
6,2024,TA1309000033,Sheffield Ave & Webster Ave,41.921833158,-87.653921485,677,679,1121,1184,1798,1863,31,21.84,21.9,36.16,38.19,58.0,60.1
6,2024,TA1309000037,Kimbark Ave & 53rd St,41.799548149,-87.594682336,457,453,1008,999,1465,1452,30,15.23,15.1,33.6,33.3,48.83,48.4
6,2024,KA1504000130,Maplewood Ave & Peterson Ave,41.990248203,-87.693338275,39,39,22,35,61,74,29,1.34,1.34,0.76,1.21,2.1,2.55
6,2024,TA1307000166,Halsted St & Willow St,41.913865,-87.648755,508,503,926,913,1434,1416,30,16.93,16.77,30.87,30.43,47.8,47.2
6,2024,TA1307000143,Sedgwick St & Schiller St,41.907626,-87.638566,230,220,473,461,703,681,30,7.67,7.33,15.77,15.37,23.43,22.7
6,2024,WL-011,Jefferson St & Monroe St,41.880329633634624,-87.64274597167967,374,374,687,582,1061,956,30,12.47,12.47,22.9,19.4,35.37,31.87
6,2024,13221,Wood St & Milwaukee Ave,41.907702446,-87.672604084,758,755,710,776,1468,1531,30,25.27,25.17,23.67,25.87,48.93,51.03
6,2024,KA1503000074,Griffin Museum of Science and Industry,41.79172820953,-87.583945009,190,195,551,576,741,771,30,6.33,6.5,18.37,19.2,24.7,25.7
6,2024,18062,Aberdeen St & Randolph St,41.884118319,-87.654264688,612,614,768,791,1380,1405,30,20.4,20.47,25.6,26.37,46.0,46.83
6,2024,632,Clark St & Newport St,41.944549203,-87.654841185,1112,1128,1127,1149,2239,2277,31,35.87,36.39,36.35,37.06,72.23,73.45
6,2024,460,Francisco Ave & Hollywood Ave,41.984414339,-87.70157814,8,11,0,0,8,11,15,0.53,0.73,0.0,0.0,0.53,0.73
6,2024,13242,Milwaukee Ave & Rockwell St,41.92019556200566,-87.69265919923781,224,220,283,269,507,489,30,7.47,7.33,9.43,8.97,16.9,16.3
