month,year,station_id,station_name,lat,lng,ebike_start,ebike_end,cbike_start,cbike_end,total_start,total_end,active_days,daily_ebike_start,daily_ebike_end,daily_cbike_start,daily_cbike_end,daily_start,daily_end
1,2021,17660,California Ave & Cortez St,41.900340666666665,-87.696743,50,47,37,39,87,86,31,1.61,1.52,1.19,1.26,2.81,2.77
1,2021,KA1504000117,Halsted St & North Branch St,41.89936843921,-87.6484798752,8,5,32,31,40,36,24,0.33,0.21,1.33,1.29,1.67,1.5
1,2021,525,Glenwood Ave & Touhy Ave,42.012701,-87.666058,10,8,55,55,65,63,30,0.33,0.27,1.83,1.83,2.17,2.1
1,2021,623,Michigan Ave & 8th St,41.872773,-87.623981,46,41,172,140,218,181,32,1.44,1.28,5.38,4.38,6.81,5.66
1,2021,15544,Shedd Aquarium,41.86722595682,-87.6153553902,12,7,99,62,111,69,26,0.46,0.27,3.81,2.38,4.27,2.65
1,2021,TA1307000038,Sedgwick St & North Ave,41.9113605,-87.638669,63,62,239,236,302,298,31,2.03,2.0,7.71,7.61,9.74,9.61
1,2021,KA1503000044,Rush St & Hubbard St,41.8900705,-87.6265925,52,40,167,147,219,187,31,1.68,1.29,5.39,4.74,7.06,6.03
1,2021,15623,Campbell Ave & Montrose Ave,41.96154766666667,-87.69117833333334,40,38,33,40,73,78,29,1.38,1.31,1.14,1.38,2.52,2.69
1,2021,SL-007,State St & Harrison St,41.874054,-87.62771916666667,54,56,103,97,157,153,30,1.8,1.87,3.43,3.23,5.23,5.1
1,2021,TA1306000016,Sheffield Ave & Fullerton Ave,41.9256018819,-87.6537080423,58,56,200,172,258,228,31,1.87,1.81,6.45,5.55,8.32,7.35
1,2021,TA1307000061,State St & Pearson St,41.897448,-87.628722,55,49,183,157,238,206,31,1.77,1.58,5.9,5.06,7.68,6.65
1,2021,TA1307000158,Damen Ave & Leland Ave,41.967094,-87.679028,29,29,80,95,109,124,30,0.97,0.97,2.67,3.17,3.63,4.13
1,2021,KA1504000155,2112 W Peterson Ave,41.99122883333333,-87.68361566666667,26,23,16,9,42,32,26,1.0,0.88,0.62,0.35,1.62,1.23
1,2021,13016,St. Clair St & Erie St,41.8941505,-87.6226575,168,170,577,576,745,746,31,5.42,5.48,18.61,18.58,24.03,24.06
1,2021,TA1307000006,Southport Ave & Wellington Ave,41.935733,-87.663576,48,41,116,157,164,198,31,1.55,1.32,3.74,5.06,5.29,6.39
1,2021,SL-005,Indiana Ave & Roosevelt Rd,41.867888,-87.623041,100,75,289,267,389,342,31,3.23,2.42,9.32,8.61,12.55,11.03
1,2021,LP-,Lincoln Park Conservatory,41.92393131136619,-87.63582453131676,33,31,95,96,128,127,31,1.06,1.0,3.06,3.1,4.13,4.1
1,2021,13146,Clark St & Armitage Ave,41.918306,-87.636282,120,117,383,307,503,424,31,3.87,3.77,12.35,9.9,16.23,13.68
1,2021,657,Wood St & Augusta Blvd,41.899204833333336,-87.67221983333333,20,18,62,61,82,79,28,0.71,0.64,2.21,2.18,2.93,2.82
1,2021,13345,Calumet Ave & 35th St,41.831379,-87.618034,6,6,38,42,44,48,29,0.21,0.21,1.31,1.45,1.52,1.66
1,2021,TA1309000025,Halsted St & Roscoe St,41.94367,-87.64895,112,103,241,256,353,359,30,3.73,3.43,8.03,8.53,11.77,11.97
1,2021,637,Wood St & Chicago Ave,41.8956275,-87.67235316666667,36,33,101,101,137,134,31,1.16,1.06,3.26,3.26,4.42,4.32
1,2021,13085,Kedzie Ave & Milwaukee Ave,41.929567,-87.707857,72,67,105,112,177,179,31,2.32,2.16,3.39,3.61,5.71,5.77
1,2021,KA1504000079,Larrabee St & Division St,41.90348607004,-87.6433534936,91,82,177,181,268,263,31,2.94,2.65,5.71,5.84,8.65,8.48
1,2021,13133,Damen Ave & Cortland St,41.91597383333333,-87.67736533333333,54,48,112,137,166,185,31,1.74,1.55,3.61,4.42,5.35,5.97
1,2021,TA1308000013,Halsted St & Archer Ave,41.847203,-87.646795,11,11,49,44,60,55,28,0.39,0.39,1.75,1.57,2.14,1.96
1,2021,TA1305000034,Honore St & Division St,41.903156,-87.673814,53,50,133,125,186,175,30,1.77,1.67,4.43,4.17,6.2,5.83
1,2021,KP1705001026,LaSalle Dr & Huron St,41.894877,-87.632326,99,96,226,202,325,298,31,3.19,3.1,7.29,6.52,10.48,9.61
1,2021,TA1309000050,Lincoln Ave & Addison St,41.946176,-87.673308,13,21,37,45,50,66,30,0.43,0.7,1.23,1.5,1.67,2.2
1,2021,13427,Cityfront Plaza Dr & Pioneer Ct,41.890573,-87.622072,74,70,207,186,281,256,30,2.47,2.33,6.9,6.2,9.37,8.53
1,2021,TA1305000020,Ogden Ave & Chicago Ave,41.89631133333334,-87.6540085,94,90,98,125,192,215,31,3.03,2.9,3.16,4.03,6.19,6.94
1,2021,KA1504000097,Drake Ave & Montrose Ave,41.96115407569,-87.7165690733,0,0,9,11,9,11,14,0.0,0.0,0.64,0.79,0.64,0.79
1,2021,KA1504000134,Ritchie Ct & Banks St,41.90707616666667,-87.62615716666667,76,71,237,203,313,274,31,2.45,2.29,7.65,6.55,10.1,8.84
1,2021,13389,Clarendon Ave & Junior Ter,41.961004,-87.649603,70,61,203,217,273,278,31,2.26,1.97,6.55,7.0,8.81,8.97
1,2021,636,Orleans St & Hubbard St,41.88985666666667,-87.63659616666666,86,77,158,168,244,245,31,2.77,2.48,5.1,5.42,7.87,7.9
1,2021,15530,Rush St & Superior St,41.89576474564,-87.6259080327,101,96,292,322,393,418,30,3.37,3.2,9.73,10.73,13.1,13.93
1,2021,TA1305000004,McCormick Place,41.8513751729,-87.6188346489,12,10,20,20,32,30,22,0.55,0.45,0.91,0.91,1.45,1.36
1,2021,13253,Lincoln Ave & Waveland Ave,41.94883516666667,-87.67527083333333,67,76,56,84,123,160,31,2.16,2.45,1.81,2.71,3.97,5.16
1,2021,TA1309000007,Franklin St & Monroe St,41.880317,-87.635185,121,114,253,226,374,340,29,4.17,3.93,8.72,7.79,12.9,11.72
