month,year,station_id,station_name,lat,lng,ebike_start,ebike_end,cbike_start,cbike_end,total_start,total_end,active_days,daily_ebike_start,daily_ebike_end,daily_cbike_start,daily_cbike_end,daily_start,daily_end
3,2025,13084,California Ave & Milwaukee Ave,41.922695,-87.697153,435,438,234,238,669,676,31,14.03,14.13,7.55,7.68,21.58,21.81
3,2025,PI00003,Leavitt St/North Ave,41.910077,-87.682306,128,127,59,61,187,188,31,4.13,4.1,1.9,1.97,6.03,6.06
3,2025,13271,Damen Ave & Clybourn Ave,41.931931,-87.677856,108,123,91,103,199,226,30,3.6,4.1,3.03,3.43,6.63,7.53
3,2025,749,Public Rack - Evans Ave & 63rd St,41.780506,-87.607519,18,19,0,0,18,19,15,1.2,1.27,0.0,0.0,1.2,1.27
3,2025,TA1307000117,Wabash Ave & Grand Ave,41.891466,-87.626761,560,566,640,642,1200,1208,31,18.06,18.26,20.65,20.71,38.71,38.97
3,2025,15535,Desplaines St & Randolph St,41.883703,-87.644238,242,237,181,180,423,417,31,7.81,7.65,5.84,5.81,13.65,13.45
3,2025,24326,Long Ave & Diversey Ave,41.93104,-87.76124,6,2,1,1,7,3,8,0.75,0.25,0.12,0.12,0.88,0.38
3,2025,KA1504000133,Rush St & Cedar St,41.90230870122,-87.627690528,474,470,302,303,776,773,31,15.29,15.16,9.74,9.77,25.03,24.94
3,2025,TA1306000011,Wells St & Walton St,41.89993001,-87.63443007,371,313,439,393,810,706,31,11.97,10.1,14.16,12.68,26.13,22.77
3,2025,TA1305000001,Wabash Ave & Cermak Rd,41.852619,-87.626488,62,60,71,74,133,134,30,2.07,2.0,2.37,2.47,4.43,4.47
3,2025,TA1305000034,Honore St & Division St,41.903119,-87.673935,371,381,229,269,600,650,31,11.97,12.29,7.39,8.68,19.35,20.97
3,2025,15622,California Ave & Montrose Ave,41.961068,-87.695439,93,89,97,101,190,190,31,3.0,2.87,3.13,3.26,6.13,6.13
3,2025,24458,Peterson/Ridge Metra,41.9918,-87.67489,85,93,31,25,116,118,31,2.74,3.0,1.0,0.81,3.74,3.81
3,2025,15529,Mies van der Rohe Way & Chestnut St,41.8985866514,-87.6219152258,406,406,365,368,771,774,31,13.1,13.1,11.77,11.87,24.87,24.97
3,2025,TA1307000070,Damen Ave & Thomas St (Augusta Blvd),41.901315,-87.677409,239,240,193,166,432,406,31,7.71,7.74,6.23,5.35,13.94,13.1
3,2025,21452,Richmond St & Lincoln Ave,41.9881174,-87.7031754,17,13,8,10,25,23,20,0.85,0.65,0.4,0.5,1.25,1.15
3,2025,TA1306000002,Morgan Ave & 14th Pl,41.862378,-87.651062,161,145,114,93,275,238,31,5.19,4.68,3.68,3.0,8.87,7.68
3,2025,1266.0,Public Rack - California & 87th,41.73569,-87.692172,1,1,0,0,1,1,1,1.0,1.0,0.0,0.0,1.0,1.0
3,2025,15623,Campbell Ave & Montrose Ave,41.961524,-87.691177,99,94,99,100,198,194,31,3.19,3.03,3.19,3.23,6.39,6.26
3,2025,13288,Damen Ave & Charleston St,41.920082,-87.677855,247,249,75,79,322,328,31,7.97,8.03,2.42,2.55,10.39,10.58
3,2025,13276,Stockton Dr & Wrightwood Ave,41.93132,-87.638742,320,324,351,379,671,703,31,10.32,10.45,11.32,12.23,21.65,22.68
3,2025,425,Rockwell St & Cermak Rd,41.851644,-87.690621,28,28,0,0,28,28,20,1.4,1.4,0.0,0.0,1.4,1.4
3,2025,TA1309000026,Lincoln Ave & Belle Plaine Ave,41.95600355078549,-87.68016144633293,134,135,106,101,240,236,31,4.32,4.35,3.42,3.26,7.74,7.61
3,2025,TA1307000156,Lincoln Ave & Sunnyside Ave,41.963004,-87.684781,148,149,164,176,312,325,31,4.77,4.81,5.29,5.68,10.06,10.48
3,2025,WL-012,Clinton St & Washington Blvd,41.88338,-87.64117,1317,1304,851,861,2168,2165,31,42.48,42.06,27.45,27.77,69.94,69.84
3,2025,23182,Central Ave & Altgeld St,41.9258119,-87.7663685,10,11,4,4,14,15,11,0.91,1.0,0.36,0.36,1.27,1.36
3,2025,TA1308000035,Lake Park Ave & 47th St,41.809443,-87.591875,39,38,64,91,103,129,30,1.3,1.27,2.13,3.03,3.43,4.3
3,2025,chargingstx5,Lincoln Ave & Roscoe St*,41.9433502470174,-87.67066776752472,239,235,215,227,454,462,31,7.71,7.58,6.94,7.32,14.65,14.9
3,2025,15634,Western Ave & Roscoe St,41.943034,-87.687288,68,64,69,83,137,147,31,2.19,2.06,2.23,2.68,4.42,4.74
3,2025,TA1307000139,MLK Jr Dr & 29th St,41.842052,-87.617,324,325,160,120,484,445,31,10.45,10.48,5.16,3.87,15.61,14.35
3,2025,SL-008,Federal St & Polk St,41.87207763285,-87.6295437729,417,417,496,488,913,905,31,13.45,13.45,16.0,15.74,29.45,29.19
3,2025,TA1309000011,Ellis Ave & 58th St,41.788746,-87.601334,230,224,299,300,529,524,31,7.42,7.23,9.65,9.68,17.06,16.9
3,2025,21388,Richmond St & 59th St,41.78649,-87.69733,8,11,0,1,8,12,16,0.5,0.69,0.0,0.06,0.5,0.75
3,2025,13269,Ashland Ave & Wellington Ave,41.936083,-87.669807,198,204,127,137,325,341,31,6.39,6.58,4.1,4.42,10.48,11.0
3,2025,TA1307000159,Paulina St & 18th St,41.857901,-87.668745,144,133,125,111,269,244,31,4.65,4.29,4.03,3.58,8.68,7.87
3,2025,TA1307000129,State St & 35th St,41.8310363140161,-87.62679755687714,148,144,60,86,208,230,31,4.77,4.65,1.94,2.77,6.71,7.42
3,2025,13213,State St & 29th St,41.841707,-87.626938,10,10,12,15,22,25,16,0.62,0.62,0.75,0.94,1.38,1.56
3,2025,21382,Kedzie Ave & 48th Pl,41.8047581237684,-87.70421936879356,28,26,13,4,41,30,24,1.17,1.08,0.54,0.17,1.71,1.25
3,2025,16920,Central Ave & Chicago Ave,41.894958,-87.764902,22,22,5,4,27,26,19,1.16,1.16,0.26,0.21,1.42,1.37
3,2025,KA1503000014,Ellis Ave & 60th St,41.78509714636,-87.6010727606,576,577,936,900,1512,1477,31,18.58,18.61,30.19,29.03,48.77,47.65
3,2025,1188.0,Public Rack - Harlem & Summerdale,41.977855563,-87.806785703,3,0,0,0,3,0,3,1.0,0.0,0.0,0.0,1.0,0.0
3,2025,SL-013,State St & 19th St,41.856594,-87.627542,79,66,76,83,155,149,29,2.72,2.28,2.62,2.86,5.34,5.14
3,2025,21351,Wellington Ave & Mulligan Ave,41.93473,-87.78436,1,1,1,2,2,3,4,0.25,0.25,0.25,0.5,0.5,0.75
3,2025,23163,Laramie Ave & Irving Park Rd,41.9533354,-87.7583844,19,16,6,8,25,24,22,0.86,0.73,0.27,0.36,1.14,1.09
3,2025,TA1306000016,Sheffield Ave & Fullerton Ave,41.9256163,-87.6536574,555,556,504,476,1059,1032,31,17.9,17.94,16.26,15.35,34.16,33.29
3,2025,KA1504000156,Clark St & Schreiber Ave,41.999245,-87.671249,97,103,79,92,176,195,30,3.23,3.43,2.63,3.07,5.87,6.5
