month,year,station_id,station_name,lat,lng,ebike_start,ebike_end,cbike_start,cbike_end,total_start,total_end,active_days,daily_ebike_start,daily_ebike_end,daily_cbike_start,daily_cbike_end,daily_start,daily_end
4,2021,TA1307000061,State St & Pearson St,41.897448,-87.628722,173,167,497,464,670,631,31,5.58,5.39,16.03,14.97,21.61,20.35
4,2021,KA1503000069,Dorchester Ave & 49th St,41.805772,-87.592464,26,26,91,77,117,103,30,0.87,0.87,3.03,2.57,3.9,3.43
4,2021,20121,Loomis Blvd & 84th St,41.741487,-87.65841,5,6,17,18,22,24,17,0.29,0.35,1.0,1.06,1.29,1.41
4,2021,TA1305000034,Honore St & Division St,41.903119,-87.673935,215,214,531,554,746,768,30,7.17,7.13,17.7,18.47,24.87,25.6
4,2021,15542,Clinton St & Polk St,41.87146651779,-87.6409491327,13,13,70,99,83,112,30,0.43,0.43,2.33,3.3,2.77,3.73
4,2021,16948,Ashland Ave & 63rd St,41.779374,-87.664843,4,4,8,8,12,12,17,0.24,0.24,0.47,0.47,0.71,0.71
4,2021,15597,Halsted St & 69th St,41.76901433333333,-87.6446325,4,4,2,0,6,4,12,0.33,0.33,0.17,0.0,0.5,0.33
4,2021,13133,Damen Ave & Cortland St,41.915983,-87.677335,185,181,633,620,818,801,30,6.17,6.03,21.1,20.67,27.27,26.7
4,2021,SL-005,Indiana Ave & Roosevelt Rd,41.867888,-87.623041,430,424,1458,1428,1888,1852,30,14.33,14.13,48.6,47.6,62.93,61.73
4,2021,13253,Lincoln Ave & Waveland Ave,41.9488015,-87.67524466666667,113,113,246,238,359,351,30,3.77,3.77,8.2,7.93,11.97,11.7
4,2021,637,Wood St & Chicago Ave,41.895634,-87.672069,110,107,338,350,448,457,30,3.67,3.57,11.27,11.67,14.93,15.23
4,2021,TA1307000139,MLK Jr Dr & 29th St,41.842052,-87.617,134,116,458,409,592,525,30,4.47,3.87,15.27,13.63,19.73,17.5
4,2021,13235,Southport Ave & Waveland Ave,41.94815,-87.66394,316,316,880,925,1196,1241,30,10.53,10.53,29.33,30.83,39.87,41.37
4,2021,TA1306000026,Racine Ave & Fullerton Ave,41.92556258,-87.65840426,178,178,710,712,888,890,30,5.93,5.93,23.67,23.73,29.6,29.67
4,2021,KA1503000053,MLK Jr Dr & 63rd St,41.78008063659,-87.6159428567,5,3,12,13,17,16,15,0.33,0.2,0.8,0.87,1.13,1.07
4,2021,15645,Richmond St & Diversey Ave,41.93190196886,-87.7011951301,57,57,86,104,143,161,30,1.9,1.9,2.87,3.47,4.77,5.37
4,2021,13109,Broadway & Berwyn Ave,41.978353,-87.659753,158,158,464,468,622,626,30,5.27,5.27,15.47,15.6,20.73,20.87
