month,year,station_id,station_name,lat,lng,ebike_start,ebike_end,cbike_start,cbike_end,total_start,total_end,active_days,daily_ebike_start,daily_ebike_end,daily_cbike_start,daily_cbike_end,daily_start,daily_end
1,2022,525,Glenwood Ave & Touhy Ave,42.0128005,-87.665906,20,8,47,29,67,37,28,0.71,0.29,1.68,1.04,2.39,1.32
1,2022,TA1306000016,Sheffield Ave & Fullerton Ave,41.9256018819,-87.6537080423,156,154,332,327,488,481,31,5.03,4.97,10.71,10.55,15.74,15.52
1,2022,KA1504000151,Clark St & Bryn Mawr Ave,41.983593,-87.669154,65,69,62,82,127,151,31,2.1,2.23,2.0,2.65,4.1,4.87
1,2022,TA1309000002,Michigan Ave & Jackson Blvd,41.87785,-87.62408,23,21,145,108,168,129,31,0.74,0.68,4.68,3.48,5.42,4.16
1,2022,637,Wood St & Chicago Ave,41.895634,-87.672069,46,48,107,101,153,149,30,1.53,1.6,3.57,3.37,5.1,4.97
1,2022,KA1504000158,Oakley Ave & Irving Park Rd,41.95434085219,-87.6860796243,20,20,7,25,27,45,26,0.77,0.77,0.27,0.96,1.04,1.73
1,2022,13304,Racine Ave & 15th St,41.861251333333335,-87.65650016666666,35,33,28,14,63,47,27,1.3,1.22,1.04,0.52,2.33,1.74
1,2022,TA1309000004,LaSalle St & Jackson Blvd,41.878166,-87.631929,132,132,241,232,373,364,31,4.26,4.26,7.77,7.48,12.03,11.74
1,2022,TA1307000119,Clarendon Ave & Leland Ave,41.967962,-87.6500285,62,64,90,79,152,143,31,2.0,2.06,2.9,2.55,4.9,4.61
1,2022,15530,Rush St & Superior St,41.89576474564,-87.6259080327,127,123,201,226,328,349,31,4.1,3.97,6.48,7.29,10.58,11.26
1,2022,LP-,Lincoln Park Conservatory,41.92393131136619,-87.63582453131676,24,25,81,48,105,73,31,0.77,0.81,2.61,1.55,3.39,2.35
1,2022,TA1307000038,Sedgwick St & North Ave,41.911386,-87.638677,144,141,227,238,371,379,31,4.65,4.55,7.32,7.68,11.97,12.23
1,2022,15646,California Ave & Altgeld St,41.9266475,-87.69766083333333,60,62,10,20,70,82,28,2.14,2.21,0.36,0.71,2.5,2.93
1,2022,TA1308000036,Indiana Ave & 31st St,41.838842,-87.621857,6,4,93,92,99,96,30,0.2,0.13,3.1,3.07,3.3,3.2
1,2022,TA1309000063,Lake Park Ave & 56th St,41.793242,-87.587782,24,22,162,162,186,184,31,0.77,0.71,5.23,5.23,6.0,5.94
1,2022,TA1307000107,Sheridan Rd & Montrose Ave,41.96164683333333,-87.65463183333334,114,120,178,206,292,326,31,3.68,3.87,5.74,6.65,9.42,10.52
1,2022,SL-007,State St & Harrison St,41.874053,-87.627716,37,37,65,85,102,122,30,1.23,1.23,2.17,2.83,3.4,4.07
1,2022,KA1504000117,Halsted St & North Branch St,41.899331333333336,-87.6485665,31,24,11,25,42,49,26,1.19,0.92,0.42,0.96,1.62,1.88
1,2022,KA1504000080,Washtenaw Ave & Lawrence Ave,41.9687465,-87.696182,29,27,37,26,66,53,27,1.07,1.0,1.37,0.96,2.44,1.96
1,2022,KA1503000071,University Ave & 57th St,41.791478,-87.599861,89,87,566,622,655,709,31,2.87,2.81,18.26,20.06,21.13,22.87
1,2022,331,Halsted St & Clybourn Ave,41.909668,-87.648128,135,138,236,231,371,369,31,4.35,4.45,7.61,7.45,11.97,11.9
1,2022,13021,Clinton St & Lake St,41.885637,-87.641823,165,161,277,310,442,471,31,5.32,5.19,8.94,10.0,14.26,15.19
1,2022,661,Evanston Civic Center,42.057044,-87.686554,9,7,17,15,26,22,20,0.45,0.35,0.85,0.75,1.3,1.1
1,2022,WL-008,Clinton St & Roosevelt Rd,41.8671177825,-87.6410879593,69,68,77,102,146,170,31,2.23,2.19,2.48,3.29,4.71,5.48
1,2022,13133,Damen Ave & Cortland St,41.9159495,-87.67738,80,72,73,108,153,180,31,2.58,2.32,2.35,3.48,4.94,5.81
1,2022,TA1308000021,Winthrop Ave & Lawrence Ave,41.968881333333336,-87.657706,52,50,62,77,114,127,30,1.73,1.67,2.07,2.57,3.8,4.23
1,2022,TA1307000134,Wilton Ave & Belmont Ave,41.940051,-87.65293033333333,172,162,289,233,461,395,31,5.55,5.23,9.32,7.52,14.87,12.74
1,2022,13235,Southport Ave & Waveland Ave,41.94804833333333,-87.66419066666667,124,121,233,241,357,362,31,4.0,3.9,7.52,7.77,11.52,11.68
1,2022,TA1305000037,Paulina Ave & North Ave,41.90985465216731,-87.66993016004562,48,46,74,79,122,125,30,1.6,1.53,2.47,2.63,4.07,4.17
1,2022,TA1307000166,Halsted St & Willow St,41.9138635,-87.64870133333334,65,64,144,114,209,178,31,2.1,2.06,4.65,3.68,6.74,5.74
1,2022,KA1503000012,Clark St & Lake St,41.88602082773,-87.6308760584,79,75,222,245,301,320,31,2.55,2.42,7.16,7.9,9.71,10.32
1,2022,TA1309000001,Halsted St & Maxwell St,41.864876509,-87.647285223,65,57,99,89,164,146,31,2.1,1.84,3.19,2.87,5.29,4.71
1,2022,TA1307000126,Sheffield Ave & Waveland Ave,41.949399,-87.654529,76,74,154,155,230,229,31,2.45,2.39,4.97,5.0,7.42,7.39
1,2022,13016,St. Clair St & Erie St,41.8943455,-87.62286166666667,256,259,407,444,663,703,31,8.26,8.35,13.13,14.32,21.39,22.68
1,2022,13331,May St & Cullerton St,41.855136,-87.654127,7,6,22,19,29,25,20,0.35,0.3,1.1,0.95,1.45,1.25
1,2022,TA1307000061,State St & Pearson St,41.897448,-87.628722,70,71,109,118,179,189,31,2.26,2.29,3.52,3.81,5.77,6.1
1,2022,TA1305000020,Ogden Ave & Chicago Ave,41.896362458,-87.6540612729,124,125,69,89,193,214,31,4.0,4.03,2.23,2.87,6.23,6.9
