target_variable,best_cv_score,validation_r2,validation_rmse,validation_mae,test_r2,test_rmse,test_mae,best_parameters,gpu_used
cbike_start,0.9659344887395702,0.9683692788474385,2.706911686595581,1.3359244930377245,0.7880812508050906,5.035078795185639,2.2355130710049793,"{'colsample_bytree': 0.9, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",True
cbike_end,0.9670149076754987,0.9705837963254267,2.6041437057152246,1.2940742190649486,0.7882753651412365,5.029961120267225,2.260597841767164,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",True
ebike_start,0.9573674817773989,0.9638904851164093,1.5927587515893435,0.9242724589401029,0.9131723936604592,2.643284551963332,1.2230563908191106,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",True
ebike_end,0.9578106085209903,0.9642377639206574,1.5636442667518204,0.8918046813109385,0.911581151416223,2.6533845652785626,1.2127770996902307,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",True
