station_id,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503,202504,202505,202506,202507
  24321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,,,,,,,,,,,,,,,,,,,8,8,7,7,7,6,7,7,6,7,7,7,8,7,7,6,6,7,6,5,6,8,8,6,5,7,6,6,5,5,4,3,,5,5,6,4
1012,,,,,,,,,,,,,,,,,,,9,,,,9,,,9,,,10,11,10,11,10,10,10,10,10,10,10,11,10,11,12,11,11,10,11,10,10,10,10,11,11,12,11
1013,,,,,,,,,,,,,,,,,,,7,8,8,6,7,,,,,7,8,,7,8,8,9,7,,,7,,,,9,10,9,9,11,8,,,,,,,,
1014,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,7,10,8,7,,,,,6,,,,,,
1015,,,,,,,,,,,,,,,,,,,,7,7,,5,,4,,4,,,,6,6,6,6,,,,,,,,7,5,4,5,5,2,,3,1,1,2,5,6,5
1016,,,,,,,,,,,,,,,,,,,6,7,,7,5,,,,,,,,6,6,6,6,,,,,,,,7,,,5,,,,3,,,,,,
1017,,,,,,,,,,,,,,,,,,,6,6,6,,,,,4,6,,6,5,6,6,6,7,6,7,,,8,,,9,9,,,,,,9,,,,8,9,
1018,,,,,,,,,,,,,,,,,,,,12,12,11,12,,10,,11,12,12,12,12,11,11,13,11,10,9,11,11,11,11,,12,13,12,,,11,,,10,,,12,10
1019,,,,,,,,,,,,,,,,,,,11,12,12,11,12,9,10,9,11,,12,12,12,11,11,13,11,10,9,11,11,11,11,13,12,13,12,11,12,11,,10,10,12,12,,10
1020,,,,,,,,,,,,,,,,,,,,8,10,,7,,,,,,6,6,,6,8,5,,,,,4,,7,8,6,7,,11,,,,,,,,10,
1021,,,,,,,,,,,,,,,,,,,5,,5,,,,,,,,5,,3,,,,,,,,,,,,,,6,7,,,,3,,,,,5
1022,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,2,,,1,,,1,,,,,,,,,4,,,,,,,1,,,
1023,,,,,,,,,,,,,,,,,,,,11,11,9,7,8,,7,7,,,,7,,,,,,,5,,5,7,,5,,,11,,,,,,,7,,
1024,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,4,3,,8,,,,,,,,,
1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,,4,,,,,,,,,
1027,,,,,,,,,,,,,,,,,,,,,6,,5,5,6,5,,6,,7,5,7,8,,,,,,,,,6,,8,8,9,,,,,,,5,,
1028,,,,,,,,,,,,,,,,,,,,,,7,8,8,,9,,,7,8,7,7,7,6,6,,,6,7,,10,8,9,7,8,11,6,7,8,7,8,8,9,8,9
1029,,,,,,,,,,,,,,,,,,,,,6,,5,5,,,6,,6,,5,,8,,7,,5,7,7,,9,,6,8,,9,,,,,,,5,,
1030,,,,,,,,,,,,,,,,,,,,9,8,7,,,,7,7,,6,,,,7,,,,,7,,,8,,,,,,,,,,,6,,,
1031,,,,,,,,,,,,,,,,,,,,,8,6,6,5,4,,6,6,5,6,4,6,6,4,,5,,4,,4,7,4,,,,7,3,3,,5,,6,4,4,5
1032,,,,,,,,,,,,,,,,,,,,4,4,4,,,,,3,3,3,3,3,3,3,2,,,3,3,3,5,4,4,5,5,6,6,6,6,4,4,6,6,5,5,6
1033,,,,,,,,,,,,,,,,,,,,7,8,7,5,4,,6,5,6,9,7,4,8,11,,5,5,5,8,,6,,,7,8,10,10,6,7,,,7,10,,,8
1034,,,,,,,,,,,,,,,,,,,,,4,4,3,3,2,4,,3,3,3,,3,3,,,,,,,5,,,,5,6,6,,,,,,,,,
1035,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,3,,,9,,,,,,,5,,
1036,,,,,,,,,,,,,,,,,,,,8,10,,,,,,6,,,7,,8,10,7,,4,,6,6,,9,,,,,10,,,6,,,8,,,
1037,,,,,,,,,,,,,,,,,,,,,,,,,5,,,7,7,8,,8,10,7,7,6,,7,,,8,,,8,8,11,,,,,,,,,
1038,,,,,,,,,,,,,,,,,,,,8,8,7,8,8,7,9,6,8,7,8,7,7,7,,,,,,,,10,8,,,,11,,,,,,,,,9
