h3_index,lat,lng
8826641901fffff,41.67689984677045,-87.55303666869379
8826641903fffff,41.669414853101344,-87.54832724726444
8826641905fffff,41.67794934233251,-87.56441788151274
8826641907fffff,41.67046482870344,-87.55970664506252
8826641909fffff,41.6833350866835,-87.54636472845259
882664190bfffff,41.67584921246931,-87.54165565410865
882664190dfffff,41.68438524099066,-87.55774755879281
8826641911fffff,41.66087866716784,-87.53224190953112
8826641913fffff,41.653393996844876,-87.5275372380518
8826641915fffff,41.66193026036574,-87.54361929388163
8826641917fffff,41.65444606894582,-87.53891280792259
8826641919fffff,41.66731148698305,-87.52556904818918
882664191dfffff,41.66836373916999,-87.53694804800917
8826641921fffff,41.67256136462669,-87.58246603271677
8826641923fffff,41.665078212148856,-87.57775263647356
8826641925fffff,41.673607924801956,-87.59384602078758
8826641927fffff,41.66612525322902,-87.58913081087702
8826641929fffff,41.678997699082245,-87.57579929167248
882664192bfffff,41.6715136659029,-87.57108624051082
882664192dfffff,41.680044916946684,-87.58718089827994
8826641931fffff,41.65654680054473,-87.56166454425207
8826641933fffff,41.64906396913057,-87.55695589790945
8826641935fffff,41.657595459895774,-87.57304070892734
8826641937fffff,41.650113108249805,-87.56833024945544
8826641939fffff,41.66298071564414,-87.55499687708361
882664193bfffff,41.65549700353697,-87.55028857695324
882664193dfffff,41.66403003292958,-87.566374658245
8826641941fffff,41.69725770320317,-87.54440101944057
8826641943fffff,41.68977054799519,-87.53969082365246
8826641945fffff,41.69830803632626,-87.5557872843676
8826641947fffff,41.69082136143006,-87.55107527166436
8826641949fffff,41.70369426586222,-87.53772480143438
882664194bfffff,41.696206230257864,-87.53301495360675
882664194dfffff,41.70474525854198,-87.54911268491844
8826641955fffff,41.68228379330082,-87.53498209693021
8826641957fffff,41.674797439502655,-87.53027483865021
882664195dfffff,41.688718595148316,-87.52830657504286
8826641961fffff,41.69291956976968,-87.57384476232016
8826641963fffff,41.685434256148845,-87.56913058705746
8826641965fffff,41.6939669645281,-87.58522980317638
8826641967fffff,41.68648213208494,-87.58051381235315
8826641969fffff,41.69935722955362,-87.5671737474937
882664196bfffff,41.691871035379314,-87.56245991818486
882664196dfffff,41.70040528281205,-87.5785604079246
88266419e9fffff,41.64696227922357,-87.53420778876483
88266419edfffff,41.64801369276402,-87.54558174404879
8826641b21fffff,41.717620364987674,-87.53575758637443
8826641b23fffff,41.71013104895908,-87.53104661695856
8826641b25fffff,41.718671537023674,-87.54714890737786
8826641b27fffff,41.71118270157854,-87.54243611914993
8826641b29fffff,41.72405824832092,-87.5290770859041
8826641b2dfffff,41.72511008072611,-87.54047002650093
8826641b35fffff,41.70264213302354,-87.52633711762863
8826641b65fffff,41.73903983956094,-87.53850274041257
8826641b67fffff,41.73154884428728,-87.53378917739131
8826641b6dfffff,41.745479702675155,-87.53181957340244
8826645201fffff,41.796225775833896,-87.778833644732
