station_id,y_true,y_pred,error,abs_error
623,10.42,6.6410336,3.77896635055542,3.77896635055542
624,4.1,2.9815412,1.1184588432312008,1.1184588432312008
626,0.0,0.4973626,-0.4973626136779785,0.4973626136779785
631,2.17,1.7810106,0.3889893722534179,0.3889893722534179
632,22.2,17.464361,4.735638809204101,4.735638809204101
634,0.5,0.28240633,0.21759366989135742,0.21759366989135742
636,10.16,5.4229326,4.737067375183106,4.737067375183106
637,7.23,6.4050756,0.8249244499206547,0.8249244499206547
638,32.58,21.728891,10.851108627319334,10.851108627319334
639,2.77,3.3665423,-0.5965423393249512,0.5965423393249512
642,0.33,0.31510687,0.014893131256103531,0.014893131256103531
643,1.43,1.3193879,0.1106120872497558,0.1106120872497558
644,2.75,5.6121616,-2.862161636352539,2.862161636352539
645,1.0,0.43551683,0.5644831657409668,0.5644831657409668
646,0.42,0.23450184,0.18549816131591795,0.18549816131591795
647,1.0,0.34908056,0.6509194374084473,0.6509194374084473
648,1.0,0.5394883,0.4605116844177246,0.4605116844177246
649,0.5,0.3981471,0.1018528938293457,0.1018528938293457
650,0.67,0.26877975,0.40122024536132816,0.40122024536132816
651,0.5,0.290308,0.20969200134277344,0.20969200134277344
653B,0.95,0.55920935,0.3907906532287597,0.3907906532287597
654,4.61,2.7404552,1.8695448493957523,1.8695448493957523
655,2.97,3.166501,-0.19650104522705059,0.19650104522705059
656,1.0,0.58956814,0.4104318618774414,0.4104318618774414
657,8.0,3.6464748,4.353525161743164,4.353525161743164
658,4.39,2.9207704,1.4692295932769772,1.4692295932769772
659,1.0,1.3736198,-0.37361979484558105,0.37361979484558105
660,3.48,1.5631211,1.9168789196014404,1.9168789196014404
661,1.45,1.3736198,0.0763802051544189,0.0763802051544189
662,0.61,0.9049797,-0.2949797058105469,0.2949797058105469
663,1.0,0.37459183,0.6254081726074219,0.6254081726074219
664,1.0,0.3600397,0.6399602890014648,0.6399602890014648
667,0.67,0.14635134,0.5236486625671387,0.5236486625671387
670,1.0,0.4268036,0.5731964111328125,0.5731964111328125
671,1.0,0.3687253,0.6312747001647949,0.6312747001647949
676,0.5,0.1866374,0.31336259841918945,0.31336259841918945
682,0.0,0.64710426,-0.6471042633056641,0.6471042633056641
693,0.81,0.42071867,0.38928133010864263,0.38928133010864263
695,0.75,-0.5062008,1.2562007904052734,1.2562007904052734
697,1.0,0.7859807,0.2140192985534668,0.2140192985534668
702,0.8,0.44653797,0.353462028503418,0.353462028503418
710,1.0,0.28960562,0.7103943824768066,0.7103943824768066
711,1.0,0.28960562,0.7103943824768066,0.7103943824768066
714,1.0,0.39585924,0.6041407585144043,0.6041407585144043
716,1.0,0.42179346,0.5782065391540527,0.5782065391540527
718,1.0,0.41385746,0.5861425399780273,0.5861425399780273
722,0.0,0.26576614,-0.2657661437988281,0.2657661437988281
725,1.0,-0.062139988,1.0621399879455566,1.0621399879455566
727,1.0,-0.55297995,1.5529799461364746,1.5529799461364746
737,1.0,0.34302425,0.6569757461547852,0.6569757461547852
742,0.0,0.873991,-0.8739910125732422,0.8739910125732422
745,1.0,0.5286269,0.4713730812072754,0.4713730812072754
746,1.0,0.2374425,0.7625575065612793,0.7625575065612793
747,1.0,0.28675127,0.7132487297058105,0.7132487297058105
749,1.2,0.43811035,0.7618896484375,0.7618896484375
751,0.75,0.73947287,0.01052713394165039,0.01052713394165039
753,1.0,0.108366966,0.8916330337524414,0.8916330337524414
755,0.67,0.53414917,0.13585083007812504,0.13585083007812504
760,0.0,0.53414917,-0.534149169921875,0.534149169921875
764,0.5,0.9220748,-0.4220747947692871,0.4220747947692871
766,0.8,-0.7638464,1.5638463973999024,1.5638463973999024
767,0.95,-0.7638464,1.7138463973999023,1.7138463973999023
768,1.72,-0.7638464,2.483846397399902,2.483846397399902
769,1.0,0.37838125,0.6216187477111816,0.6216187477111816
775,1.0,0.8720565,0.1279435157775879,0.1279435157775879
776,1.0,0.7954688,0.20453119277954102,0.20453119277954102
788,0.33,0.5936785,-0.2636784744262695,0.2636784744262695
792,1.0,0.46407318,0.5359268188476562,0.5359268188476562
798,1.0,0.40715313,0.5928468704223633,0.5928468704223633
800,0.0,0.9072356,-0.9072356224060059,0.9072356224060059
801,0.0,0.30316782,-0.30316781997680664,0.30316781997680664
808,0.25,0.69413614,-0.4441361427307129,0.4441361427307129
810,0.75,0.69413614,0.05586385726928711,0.05586385726928711
813,0.5,0.5061469,-0.006146907806396484,0.006146907806396484
814,0.88,0.29694176,0.5830582427978516,0.5830582427978516
817,0.0,0.6577077,-0.657707691192627,0.657707691192627
821,1.0,0.6678791,0.3321208953857422,0.3321208953857422
822,0.33,1.2732124,-0.943212432861328,0.943212432861328
823,1.0,0.8720565,0.1279435157775879,0.1279435157775879
828,0.0,0.63675547,-0.6367554664611816,0.6367554664611816
830,1.0,1.0695472,-0.06954717636108398,0.06954717636108398
833,0.69,0.74166536,-0.05166536331176763,0.05166536331176763
836,1.0,0.81671,0.1832900047302246,0.1832900047302246
839,1.0,0.91073895,0.08926105499267578,0.08926105499267578
840,0.5,0.43831062,0.06168937683105469,0.06168937683105469
841,1.0,0.5736871,0.4263129234313965,0.4263129234313965
845,0.0,0.5531912,-0.5531911849975586,0.5531911849975586
846,0.0,0.53411055,-0.5341105461120605,0.5341105461120605
852,0.0,0.50151205,-0.5015120506286621,0.5015120506286621
855,1.52,2.0149503,-0.49495027542114256,0.49495027542114256
860,2.0,0.6397643,1.3602356910705566,1.3602356910705566
862,2.0,0.18084955,1.819150447845459,1.819150447845459
863,0.8,0.80363464,-0.0036346435546874556,0.0036346435546874556
865,1.0,0.7208276,0.279172420501709,0.279172420501709
866,0.69,0.7208276,-0.03082757949829107,0.03082757949829107
867,1.0,0.66704273,0.33295726776123047,0.33295726776123047
868,1.0,0.39437342,0.6056265830993652,0.6056265830993652
870,1.0,0.38308096,0.6169190406799316,0.6169190406799316
871,1.0,0.22640467,0.7735953330993652,0.7735953330993652
879,1.0,0.5394883,0.4605116844177246,0.4605116844177246
880,1.0,0.37459183,0.6254081726074219,0.6254081726074219
881,1.0,0.37459183,0.6254081726074219,0.6254081726074219
882,1.0,0.37459183,0.6254081726074219,0.6254081726074219
887,2.0,0.72416115,1.275838851928711,1.275838851928711
888,1.0,0.552876,0.44712400436401367,0.44712400436401367
889,1.0,0.38569593,0.6143040657043457,0.6143040657043457
