station_id,station_name,poi_tourism,poi_education,poi_medical,poi_shop,poi_leisure
1096,Public Rack - Austin Ave & Archer Ave,0,0,0,3,0
1097,Public Rack - Meade Ave & Archer Ave,0,0,0,3,0
1098,Public Rack - New England Ave & Irving Park Rd,0,0,0,0,0
1099,Public Rack - Leland Ave & Melvina Ave,0,0,0,1,0
1100,Public Rack - Melvina Ave & Montrose Ave,0,0,0,2,0
1101,Public Rack - Menard Ave & Leland Ave,0,0,0,7,0
1102,Public Rack - Central Ave & Pensacola Ave,0,0,0,2,0
1103,Public Rack - Irving Park Rd & Menard Ave,0,1,1,7,0
1104,Public Rack - Irving Park Rd & Austin Ave,0,1,1,7,0
1105,Public Rack - Irving Park Rd & Parkside Ave,0,3,2,2,0
1106,Public Rack - Irving Park Rd & Melvina Ave,0,1,1,6,0
1107,Public Rack - Milwaukee Ave & Warner Ave,2,0,7,36,0
1108,Public Rack - Cicero Ave & Belle Plaine Ave,2,0,7,45,0
1109,Public Rack - Milwaukee Ave & Sunnyside Ave,0,0,0,9,0
1110,Public Rack - Milwaukee Ave & Culyer Ave,2,0,7,42,0
1111,Public Rack - Lavergne Ave & Belle Plaine Ave,2,0,7,35,0
111111,w. Chicago Warehouse,0,1,0,0,0
1112,Public Rack - Milwaukee Ave & Pensacola Ave,0,0,0,6,0
1113,Public Rack - Irving Park Rd & Leclaire Ave,1,0,7,15,0
1114,Public Rack - Montrose Ave & Lavergne Ave,0,0,0,6,0
1115,Public Rack - Milwaukee Ave & Leland Ave,2,0,1,18,0
1116,Public Rack - Oak Park Ave & Foster Ave,0,0,1,10,0
1117,Public Rack - Nordica Ave & Higgins Ave,0,0,0,3,0
1118,Public Rack - Mont Clare Ave & Higgins Ave,0,0,0,5,0
1119,Public Rack - Central Ave & Lawrence Ave,0,0,0,5,0
1120,Public Rack - Milwaukee Ave & Catalpa Ave,1,0,1,10,0
1121,Public Rack - Milwaukee Ave & Higgins Ave,2,0,1,23,0
1122,Public Rack - Winona St & Elston Ave,0,0,0,7,0
1123,Public Rack - Milwaukee Ave & Lawrence Ave,2,0,1,24,0
1124,Public Rack - Lotus Ave & Lawrence Ave,2,0,1,23,0
1125,Public Rack - Milwaukee Ave & Kennedy Expy,2,0,1,14,0
1126,Public Rack - Milwaukee Ave & Kennedy Expy,1,0,1,10,0
1127,Public Rack - Karlov Ave & Lawrence Ave,0,0,0,7,0
1128,Public Rack - 4810 Keeler Ave,0,0,1,10,0
1129,Public Rack - Elston Ave & Kenneth Ave,0,0,1,5,0
1130,Public Rack - Elston Ave & Gunnison St,0,0,1,3,0
1131,Public Rack - Springfield Ave & Lawrence Ave,0,1,0,9,0
1132,Public Rack - Lawrence Ave & Kimball Ave,5,2,1,15,0
1133,Public Rack - Bernard St & Foster Ave,1,2,0,3,0
1134,Public Rack - Kimball Ave & Lawrence Ave,5,2,1,15,0
1135,Public Rack - Higgins Ave & Neva Ave,0,0,0,5,0
1136,Public Rack - William J Onahan Public School,0,0,0,1,0
1137,Public Rack - Nina Ave & Avondale Ave,0,1,0,7,0
1138,Public Rack - Normandy Ave & Raven St,0,0,0,1,0
1139,Public Rack - Northwest Hwy & Raven St,0,1,0,7,0
1140,Public Rack - Natoma Ave & Bryn Mawr Ave,1,0,0,1,0
1141,Public Rack - Holbrook St & Milwaukee Ave,0,0,0,0,0
1142,Public Rack - Haft Ave & Milwaukee Ave,3,0,0,3,0
1143,Public Rack - Mason Ave & Milwaukee Ave,0,0,1,9,0
1144,Public Rack - Miami Ave & Milwaukee Ave,0,0,0,1,0
1145,Public Rack - Peterson Ave & Milwaukee Ave,0,0,0,3,0
1146,Public Rack - Bryn Mawr Ave & Milwaukee Ave,0,0,1,6,0
1147,Public Rack - Kedvale Ave & Peterson Ave,0,0,0,1,0
1148,Public Rack - Pulaski Rd & Stevens Ave,0,0,0,0,0
1149,Public Rack - Lemont Ave & Keating Ave,0,0,1,3,0
1150,Public Rack - Bryn Mawr Ave & Spaulding Ave,0,1,0,2,0
1152,Public Rack - Pratt Ave & Odell Ave,1,0,0,1,0
1154,Public Rack - Ozanam Ave & Devon Ave,0,0,0,2,0
1155,Public Rack - Olmstead Ave & Oliphant Ave,0,0,0,1,0
1156,Public Rack - Northwest Hwy & Overhill Ave,0,0,0,1,0
1157,Public Rack - Northwest Hwy & Neva Ave,0,0,0,2,0
1158,Public Rack - Northwest Hwy & Highland Ave,0,0,0,1,0
1159,Public Rack - Devon Ave & Minnehaha Ave (east),1,0,0,20,0
1161,Public Rack - Kinzua Ave & Devon Ave,1,0,0,20,0
1162,Public Rack - Leoti Ave & Central Ave (north),1,0,0,20,0
1163,Public Rack - Devon Ave & Minnehaha Ave (west),1,0,0,20,0
1164,Public Rack - Devon Ave & Kinzua Ave,1,0,0,20,0
1165,Public Rack - Devon Ave & Central Ave,1,0,0,20,0
1166,Public Rack - Minnehaha Ave & Devon Ave,1,0,0,20,0
1167,Public Rack - Leoti Ave & Central Ave (south),1,0,0,20,0
1168,Public Rack - Hiawatha Ave & Minnehaha Ave,0,0,0,15,0
1169,Public Rack - Brooks Park,5,0,0,0,0
1170,Public Rack - Ottowa Ave & Touhy Ave,0,0,0,0,0
1171,Public Rack - Overhill Ave & Touhy Ave,0,0,0,0,0
1172,Public Rack - Touhy Ave & Oconto Ave,6,0,0,2,0
1173,Public Rack - Octavia Ave & Touhy Ave,6,0,0,2,0
1174,Public Rack - Osceola Ave & Touhy Ave,0,0,0,1,0
1175,Public Rack - Hiawatha & Mendota,0,0,0,0,0
1176,Public Rack - Imlay & Milwaukee,3,0,0,3,0
1177,Public Rack - Sayer & Northwest Hwy,0,1,0,7,0
1178,Public Rack - Harlem & Palatine,0,0,0,1,0
1179,Public Rack - Oketo & Northwest Hwy,0,0,0,1,0
1180,Public Rack - N. Oakview and W. Gregory St,1,0,0,0,0
1181,Public Rack - Delphina & Foster,0,0,0,3,0
1182,Public Rack - Cumberland & Catherine,0,0,0,1,0
1183,Public Rack - Canfield & Victoria,0,0,1,0,0
1184,Public Rack - Ozman & Talcott,0,0,0,2,0
1185,Public Rack - W. Talcott & N. Oriole,0,0,0,1,0
1186,Public Rack - Oketo & Talcott,0,0,0,0,0
1187,Public Rack - Odell & Talcott,0,0,0,0,0
1188,Public Rack - Harlem & Summerdale,0,0,1,12,0
1189,Public Rack - Neva & Foster,0,0,1,10,0
1190,Public Rack - Neenah & Dakin,0,1,1,10,0
1191,Public Rack - Central & Berteau,0,0,0,2,0
1192,Public Rack - Central & Leland,0,0,0,5,0
1193,Public Rack - Neola & Northwest Hwy,0,0,0,7,0
1194,Public Rack - Norwood Park,1,0,0,1,0
1195,Public Rack - Nashotah & Northwest Hwy,0,0,0,1,0
1196,Public Rack - Mulligan & Northwest Hwy,0,0,0,1,0
1197,Public Rack - Northwest Hwy & Bryn Mawr,0,0,0,2,0
1198,Public Rack - Oak Park & Higgins,0,0,0,0,0
1199,Public Rack - Nagel & Higgins,0,0,0,7,0
1200,Public Rack - Melvina & Foster,0,0,0,8,0
1201,Public Rack - Austin & Higgins,0,0,0,2,0
1202,Public Rack - Mango & Higgins,0,0,1,3,0
1203,Public Rack - Lavergne & Lawrence,0,0,0,1,0
1204,Public Rack - Leamington & Elston,1,0,0,0,0
1205,Public Rack - Lynch & Elston,1,0,0,1,0
1206,Public Rack - Linder & Elston,0,0,0,1,0
1207,Public Rack - Parkside & Elston,0,0,0,0,0
1208,Public Rack - Central & Prescott,0,0,0,3,0
1209,Public Rack - Leader & Caldwell,0,0,0,1,0
1210,Public Rack - Cicero & Rosemont,0,0,0,1,0
1211,Public Rack - Keating & Peterson,0,0,1,3,0
1212,Public Rack - Forest Glen & Peterson,0,0,1,3,0
1213,Public Rack - Kostner & Peterson,0,0,0,0,0
1214,Public Rack - Pulaski & Rosemont,0,0,0,0,0
1215,Public Rack - Avers & Granville,0,0,0,0,0
1216,Public Rack - St Louis & Lincoln,0,1,0,13,0
1217,Public Rack - Christiana & Lincoln,0,0,0,10,0
1218,Public Rack - Central Park & Peterson,0,0,0,0,0
1219,Public Rack - Kimball & Ardmore,0,1,0,0,0
1220,Public Rack - Kostner & Bryn Mawr,0,0,0,0,0
1221,Public Rack - Pulaski & Ardmore,1,0,0,1,0
1222,Public Rack - Central Park & Bryn Mawr,1,0,0,1,0
1223,Public Rack - Kenton & Lawrence,0,0,1,3,0
1224,Public Rack - Kilpatrick & Elston,0,0,1,9,0
1225,Public Rack - Kenneth & Carmen,1,0,0,4,0
1226,Public Rack - Avers & Lawrence,0,1,0,9,0
1227,Public Rack - Monticello & Lawrence,0,1,1,11,0
1228,Public Rack - S. New England/ W. 65th,0,0,0,0,0
12282023,West - Chi - Cassette Repair,0,0,0,0,0
1229,Public Rack - Nordica & Archer,0,0,0,2,0
1230,Public Rack - Newcastle & Archer,0,0,0,1,0
1231,Public Rack - Neenah & Archer,3,2,0,1,0
1232,Public Rack - Rutherford & 53rd,0,1,0,1,0
1233,Public Rack - McVicker & 52nd,0,0,0,3,0
1234,Public Rack - Linder & 51st,0,0,0,4,0
1235,Public Rack - Lockwood & Archer,0,1,0,4,0
1236,Public Rack - Parkside & Archer,0,1,0,9,0
1237,Public Rack - Mason & Archer,0,0,0,3,0
1238,Public Rack - Austin & 62nd,0,0,0,1,0
1239,Public Rack - S Menard & W 63rd,0,1,0,1,0
1240,Public Rack - Parkside & 63rd,0,1,0,1,0
1241,Public Rack - Harlem and W. 59th,0,1,0,3,0
1242,Public Rack - Cicero & 64th,1,0,0,3,0
1243,Public Rack - Ford City Mall,0,0,1,21,0
1244,Public Rack - Western & 74th,0,0,0,0,0
1245,Public Rack - Artesian & 71st,0,0,0,0,0
1248,Public Rack - Sacramento & 71st,0,0,0,0,0
1249,Public Rack - Kedzie & 73rd,0,0,0,0,0
1251,Public Rack - Kedzie & 71st,0,0,0,0,0
1252,Public Rack - Troy & 71st,0,0,0,0,0
1253,Public Rack - Hamlin & 72nd,0,0,0,1,0
1254,Public Rack - Springfield & 71st,0,0,1,5,0
1255,Public Rack - Pulaski & 74th,0,0,0,0,0
1256,Public Rack - Springfield & 79th,0,0,0,0,0
1257,Public Rack - S. Kilpatrick and W. 79th,0,0,0,18,0
1259,Public Rack - Kostner & 83rd,0,0,0,0,0
1260,Public Rack - Pulaski & 84th,0,0,0,0,0
1261,Public Rack - St Louis & 83rd,0,1,0,0,0
1262,Public Rack - St Louis & Columbus,0,1,0,1,0
1263,Public Rack - Columbus & 79th,0,1,0,1,0
1264,Public Rack - Homan & 79th,0,0,0,1,0
1265,Public Rack - Homan & 77th,0,0,0,0,0
1266,Public Rack - California & 87th,0,0,1,1,0
1267,Public Rack - California & 82nd,0,0,0,0,0
1268,Public Rack - Mozart & 79th,0,0,0,1,0
1269,Public Rack - Western & 79th,0,0,0,1,0
1271,Public Rack - Western & 83rd,0,0,0,1,0
1272,Public Rack - Damen & 81st,0,2,0,0,0
1273,Public Rack - Horner & 85th,0,2,0,0,0
1274,Public Rack - Damen & 87th,3,1,0,0,0
1275,Public Rack - Norwood Park Station ,0,1,0,7,0
1276,Public Rack - Hollywood Park,0,0,0,1,0
1277,Public Rack - Peterson Park,1,0,0,0,0
1278,Public Rack - Wentworth Park,3,2,0,0,0
1279,Public Rack - Richard Daley College,0,0,0,0,0
1280,Public Rack - Wilbur Wright College South,0,0,1,6,0
1281,Public Rack - Wilbur Wright College North,0,1,0,3,0
1282,Public Rack - Wrightwood Metra Station,0,1,0,1,0
1283,Public Rack - Ashburn Metra ,0,0,0,0,0
1284,Public Rack - Forest Glen Station ,1,0,0,0,0
13001,Michigan Ave & Washington St,26,2,11,94,0
13006,LaSalle St & Washington St,11,1,9,77,0
13008,Millennium Park,22,2,7,84,0
13011,Canal St & Adams St,11,2,3,31,0
13016,St. Clair St & Erie St,23,2,6,109,0
13017,Franklin St & Chicago Ave,2,0,1,15,0
13021,Clinton St & Lake St,6,0,1,28,0
13022,Streeter Dr & Grand Ave,18,0,1,10,0
13028,900 W Harrison St,13,1,0,10,0
13029,Field Museum,17,0,0,0,0
13033,Milwaukee Ave & Grand Ave,1,0,0,7,0
13034,Michigan Ave & Pearson St,16,1,3,149,0
13036,Michigan Ave & Madison St,26,2,12,96,0
13037,Clinton St & Tilden St,5,2,3,13,0
13042,Michigan Ave & Oak St,11,0,2,128,0
13045,Dearborn St & Erie St,16,1,1,83,0
13050,State St & Kinzie St,35,2,8,77,0
13053,Green St & Washington Blvd,7,0,7,73,0
13056,Canal St & Monroe St,13,2,4,43,0
13058,Dayton St & North Ave,0,0,2,41,0
13059,Sheridan Rd & Argyle St,5,1,5,44,0
13061,Ashland Ave & Division St,3,2,1,44,0
13063,Sheridan Rd & Irving Park Rd,1,2,3,38,0
13068,Western Ave & Winnebago Ave,1,1,0,22,0
13071,Southport Ave & Roscoe St,6,1,2,13,0
