station_id,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503,202504,202505,202506,202507
  24321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,,,,,,,,,,,,,,,,,,,9,9,8,8,8,7,8,8,7,8,8,8,9,8,8,7,7,8,7,6,7,9,10,8,7,9,8,8,8,8,7,6,,8,8,9,7
1012,,,,,,,,,,,,,,,,,,,12,,,,11,,,11,,,11,14,13,14,13,13,13,14,12,12,12,13,14,14,14,14,15,13,13,11,11,12,13,14,14,14,14
1013,,,,,,,,,,,,,,,,,,,14,16,15,13,14,,,,,13,13,,11,13,13,14,11,,,12,,,,14,16,14,17,19,12,,,,,,,,
1014,,,,,,,,,,,,,,,,,,,,16,16,,,,,,,,,,,,,,,,,,,,15,18,16,15,,,,,13,,,,,,
1015,,,,,,,,,,,,,,,,,,,,9,9,,6,,5,,6,,,,8,8,9,9,,,,,,,,10,8,6,7,7,4,,6,3,3,4,8,9,7
1016,,,,,,,,,,,,,,,,,,,8,9,,8,6,,,,,,,,8,8,9,9,,,,,,,,10,,,7,,,,6,,,,,,
1017,,,,,,,,,,,,,,,,,,,9,10,9,,,,,6,9,,8,7,10,9,9,11,8,8,,,11,,,14,13,,,,,,14,,,,12,13,
1018,,,,,,,,,,,,,,,,,,,,19,19,16,18,,16,,17,19,18,17,18,16,18,20,17,16,15,16,16,18,17,,18,19,18,,,15,,,16,,,17,16
1019,,,,,,,,,,,,,,,,,,,18,19,19,16,18,15,16,15,17,,18,17,18,16,18,20,17,16,15,16,16,18,17,18,18,19,18,15,17,15,,15,16,17,16,,16
1020,,,,,,,,,,,,,,,,,,,,12,15,,9,,,,,,10,9,,8,11,8,,,,,9,,12,15,11,11,,17,,,,,,,,17,
1021,,,,,,,,,,,,,,,,,,,10,,10,,,,,,,,9,,6,,,,,,,,,,,,,,12,13,,,,4,,,,,10
1022,,,,,,,,,,,,,,,,,,,,,,5,,3,,,,,,6,,,5,,,4,,,,,,,,,9,,,,,,,6,,,
1023,,,,,,,,,,,,,,,,,,,,13,13,10,8,9,,8,8,,,,8,,,,,,,5,,7,9,,9,,,13,,,,,,,11,,
1024,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,6,4,,11,,,,,,,,,
1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,6,,,11,,,,,,,,,
1027,,,,,,,,,,,,,,,,,,,,,10,,9,9,10,9,,10,,11,9,11,12,,,,,,,,,10,,13,13,14,,,,,,,10,,
1028,,,,,,,,,,,,,,,,,,,,,,11,12,12,,13,,,11,13,11,12,12,11,10,,,10,12,,15,11,12,11,12,16,9,9,12,10,12,11,11,11,13
1029,,,,,,,,,,,,,,,,,,,,,10,,9,9,,,10,,10,,9,,12,,11,,9,11,11,,13,,11,13,,14,,,,,,,10,,
1030,,,,,,,,,,,,,,,,,,,,12,12,10,,,,10,9,,8,,,,11,,,,,10,,,13,,,,,,,,,,,9,,,
1031,,,,,,,,,,,,,,,,,,,,,11,9,9,7,6,,8,9,9,9,6,9,9,7,,8,,8,,9,12,9,,,,14,8,8,,9,,11,8,8,10
1032,,,,,,,,,,,,,,,,,,,,9,8,7,,,,,7,6,6,6,5,6,6,4,,,6,5,6,7,8,7,8,8,9,10,8,8,7,7,9,11,8,8,9
1033,,,,,,,,,,,,,,,,,,,,11,12,11,9,7,,8,8,9,12,11,7,11,15,,8,9,9,13,,10,,,11,11,13,15,11,11,,,11,15,,,13
1034,,,,,,,,,,,,,,,,,,,,,8,7,6,5,4,7,,6,6,6,,6,6,,,,,,,7,,,,8,9,10,,,,,,,,,
1035,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,7,,,13,,,,,,,9,,
1036,,,,,,,,,,,,,,,,,,,,18,19,,,,,,12,,,17,,17,21,15,,9,,12,10,,17,,,,,23,,,9,,,16,,,
1037,,,,,,,,,,,,,,,,,,,,,,,,,10,,,13,12,15,,14,17,13,11,11,,12,,,16,,,11,12,17,,,,,,,,,
1038,,,,,,,,,,,,,,,,,,,,13,13,11,12,12,11,13,11,12,11,13,11,12,12,,,,,,,,15,11,,,,16,,,,,,,,,13
