station_id,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503,202504,202505,202506,202507
  24321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,,3,3,3,3
1012,,,,,,,,,,,,,,,,,,,3,,,,2,,,2,,,1,3,3,3,3,3,3,4,2,2,2,2,4,3,2,3,4,3,2,1,1,2,3,3,3,2,3
1013,,,,,,,,,,,,,,,,,,,7,8,7,7,7,,,,,6,5,,4,5,5,5,4,,,5,,,,5,6,5,8,8,4,,,,,,,,
1014,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,,,,,,,,,,,8,8,8,8,,,,,7,,,,,,
1015,,,,,,,,,,,,,,,,,,,,2,2,,1,,1,,2,,,,2,2,3,3,,,,,,,,3,3,2,2,2,2,,3,2,2,2,3,3,2
1016,,,,,,,,,,,,,,,,,,,2,2,,1,1,,,,,,,,2,2,3,3,,,,,,,,3,,,2,,,,3,,,,,,
1017,,,,,,,,,,,,,,,,,,,3,4,3,,,,,2,3,,2,2,4,3,3,4,2,1,,,3,,,5,4,,,,,,5,,,,4,4,
1018,,,,,,,,,,,,,,,,,,,,7,7,5,6,,6,,6,7,6,5,6,5,7,7,6,6,6,5,5,7,6,,6,6,6,,,4,,,6,,,5,6
1019,,,,,,,,,,,,,,,,,,,7,7,7,5,6,6,6,6,6,,6,5,6,5,7,7,6,6,6,5,5,7,6,5,6,6,6,4,5,4,,5,6,5,4,,6
1020,,,,,,,,,,,,,,,,,,,,4,5,,2,,,,,,4,3,,2,3,3,,,,,5,,5,7,5,4,,6,,,,,,,,7,
1021,,,,,,,,,,,,,,,,,,,5,,5,,,,,,,,4,,3,,,,,,,,,,,,,,6,6,,,,1,,,,,5
1022,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,4,,,4,,,3,,,,,,,,,5,,,,,,,5,,,
1023,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,,1,1,,,,1,,,,,,,0,,2,2,,4,,,2,,,,,,,4,,
1024,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,1,,3,,,,,,,,,
1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,,7,,,,,,,,,
1027,,,,,,,,,,,,,,,,,,,,,4,,4,4,4,4,,4,,4,4,4,4,,,,,,,,,4,,5,5,5,,,,,,,5,,
1028,,,,,,,,,,,,,,,,,,,,,,4,4,4,,4,,,4,5,4,5,5,5,4,,,4,5,,5,3,3,4,4,5,3,2,4,3,4,3,2,3,4
1029,,,,,,,,,,,,,,,,,,,,,4,,4,4,,,4,,4,,4,,4,,4,,4,4,4,,4,,5,5,,5,,,,,,,5,,
1030,,,,,,,,,,,,,,,,,,,,3,4,3,,,,3,2,,2,,,,4,,,,,3,,,5,,,,,,,,,,,3,,,
1031,,,,,,,,,,,,,,,,,,,,,3,3,3,2,2,,2,3,4,3,2,3,3,3,,3,,4,,5,5,5,,,,7,5,5,,4,,5,4,4,5
1032,,,,,,,,,,,,,,,,,,,,5,4,3,,,,,4,3,3,3,2,3,3,2,,,3,2,3,2,4,3,3,3,3,4,2,2,3,3,3,5,3,3,3
1033,,,,,,,,,,,,,,,,,,,,4,4,4,4,3,,2,3,3,3,4,3,3,4,,3,4,4,5,,4,,,4,3,3,5,5,4,,,4,5,,,5
1034,,,,,,,,,,,,,,,,,,,,,4,3,3,2,2,3,,3,3,3,,3,3,,,,,,,2,,,,3,3,4,,,,,,,,,
1035,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,4,,,4,,,,,,,4,,
1036,,,,,,,,,,,,,,,,,,,,10,9,,,,,,6,,,10,,9,11,8,,5,,6,4,,8,,,,,13,,,3,,,8,,,
1037,,,,,,,,,,,,,,,,,,,,,,,,,5,,,6,5,7,,6,7,6,4,5,,5,,,8,,,3,4,6,,,,,,,,,
1038,,,,,,,,,,,,,,,,,,,,5,5,4,4,4,4,4,5,4,4,5,4,5,5,,,,,,,,5,3,,,,5,,,,,,,,,4
