station_id,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503,202504,202505,202506,202507
  24321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,,,,,,,,,,,,,,,,,,,5,5,4,5,4,3,2,2,3,4,4,4,4,4,4,4,3,3,3,4,2,3,5,5,2,5,2,3,1,2,1,1,,2,3,2,3
1012,,,,,,,,,,,,,,,,,,,4,,,,4,,,4,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1013,,,,,,,,,,,,,,,,,,,1,1,2,1,2,,,,,2,3,,2,2,1,2,1,,,1,,,,2,2,2,3,3,1,,,,,,,,
1014,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,4,4,4,4,,,,,4,,,,,,
1015,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,,1,,,,1,1,1,1,,,,,,,,3,3,3,3,3,3,,3,3,3,3,3,3,3
1016,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,1,1,1,1,,,,,,,,3,,,3,,,,3,,,,,,
1017,,,,,,,,,,,,,,,,,,,5,6,6,,,,,4,3,,5,6,5,5,5,6,2,4,,,4,,,6,5,,,,,,3,,,,5,6,
1018,,,,,,,,,,,,,,,,,,,,3,3,3,3,,3,,2,3,3,3,3,3,3,2,3,2,2,2,3,2,4,,5,5,5,,,3,,,3,,,4,5
1019,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,2,,3,3,3,3,3,2,3,2,2,2,3,2,4,2,5,5,5,4,4,3,,3,3,5,5,,5
1020,,,,,,,,,,,,,,,,,,,,5,5,,4,,,,,,5,4,,5,4,4,,,,,2,,6,5,4,5,,7,,,,,,,,6,
1021,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,1,,0,,,,,,,,,,,,,,2,2,,,,1,,,,,2
1022,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,1,,,0,,,,,,,,,2,,,,,,,2,,,
1023,,,,,,,,,,,,,,,,,,,,3,2,2,2,1,,1,1,,,,2,,,,,,,2,,3,2,,2,,,2,,,,,,,3,,
1024,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,0,1,,4,,,,,,,,,
1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,1,,,,,,,,,
1027,,,,,,,,,,,,,,,,,,,,,8,,9,7,5,5,,7,,9,9,9,9,,,,,,,,,3,,7,6,11,,,,,,,6,,
1028,,,,,,,,,,,,,,,,,,,,,,5,6,4,,6,,,6,4,5,5,8,5,4,,,5,5,,5,4,4,5,4,5,3,3,3,3,3,5,5,3,3
1029,,,,,,,,,,,,,,,,,,,,,8,,9,7,,,5,,10,,9,,9,,6,,2,4,4,,8,,3,7,,11,,,,,,,6,,
1030,,,,,,,,,,,,,,,,,,,,10,10,12,,,,6,7,,11,,,,12,,,,,6,,,10,,,,,,,,,,,11,,,
1031,,,,,,,,,,,,,,,,,,,,,8,7,5,4,5,,5,5,8,6,4,7,8,5,,2,,5,,5,6,4,,,,7,4,5,,3,,7,5,5,5
1032,,,,,,,,,,,,,,,,,,,,3,4,4,,,,,3,3,3,4,3,3,4,4,,,2,3,2,3,4,3,2,2,2,3,3,3,1,3,2,4,3,3,3
1033,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,,1,1,1,2,1,1,,,1,1,,,1
1034,,,,,,,,,,,,,,,,,,,,,4,4,3,3,3,2,,3,3,4,,3,4,,,,,,,3,,,,2,2,3,,,,,,,,,
1035,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,2,,,,,,,2,,
1036,,,,,,,,,,,,,,,,,,,,6,7,,,,,,5,,,6,,6,6,5,,5,,5,5,,7,,,,,6,,,4,,,4,,,
1037,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,,0,1,1,1,1,,1,,,2,,,3,3,3,,,,,,,,,
1038,,,,,,,,,,,,,,,,,,,,5,7,5,6,4,4,6,5,4,6,4,5,5,8,,,,,,,,5,4,,,,5,,,,,,,,,3
